id,scenario,year,0
NLD,government-directed,2050.0,1.1312631342563393
NOR,government-directed,2050.0,0.9648769626064972
POL,government-directed,2050.0,1.6104827455778963
PRT,government-directed,2050.0,1.3661995344277604
ROU,government-directed,2050.0,2.534930637687379
SRB,government-directed,2050.0,2.148372539286919
SVK,government-directed,2050.0,1.4221616040407525
SVN,government-directed,2050.0,1.2035090614749477
SWE,government-directed,2050.0,1.0443839300893054
ALB,market-driven,2030.0,1.2144154418783597
AUT,market-driven,2030.0,1.056552755893564
BEL,market-driven,2030.0,1.0355517320448873
BGR,market-driven,2030.0,1.0797392544512634
BIH,market-driven,2030.0,1.2152776309351596
CHE,market-driven,2030.0,1.0076334592324143
CYP,market-driven,2030.0,1.3065866962376766
CZE,market-driven,2030.0,1.2120813931841847
DEU,market-driven,2030.0,1.0170728917233192
