dataset,cat_name,id,end_use,year,scenario,0
heat_demand,commercial,PRT,cooking,2030.0,people-powered,1.1109129849840786
heat_demand,commercial,ROU,cooking,2030.0,people-powered,1.3172459974092203
heat_demand,commercial,SRB,cooking,2030.0,people-powered,1.177970005994803
heat_demand,commercial,SVK,cooking,2030.0,people-powered,1.1809736360488066
heat_demand,commercial,SVN,cooking,2030.0,people-powered,1.2597572096128304
heat_demand,commercial,SWE,cooking,2030.0,people-powered,1.2116358051828355
heat_demand,commercial,ALB,cooking,2050.0,current,0.6916061472367494
heat_demand,commercial,AUT,cooking,2050.0,current,0.7333043659988535
heat_demand,commercial,BEL,cooking,2050.0,current,0.6718162646179853
heat_demand,commercial,BGR,cooking,2050.0,current,0.5773692336398881
heat_demand,commercial,BIH,cooking,2050.0,current,0.6916061472367494
heat_demand,commercial,CHE,cooking,2050.0,current,0.7333043659988535
heat_demand,commercial,CYP,cooking,2050.0,current,0.8683095106007023
heat_demand,commercial,CZE,cooking,2050.0,current,0.820910343856402
heat_demand,commercial,DEU,cooking,2050.0,current,0.694096072392943
heat_demand,commercial,DNK,cooking,2050.0,current,0.749021297075807
heat_demand,commercial,ESP,cooking,2050.0,current,0.6444983960349912
heat_demand,commercial,EST,cooking,2050.0,current,0.9075532641754367
heat_demand,commercial,FIN,cooking,2050.0,current,0.7351023556791298
heat_demand,commercial,FRA,cooking,2050.0,current,0.6726729886952902
heat_demand,commercial,GBR,cooking,2050.0,current,0.8009355812568625
heat_demand,commercial,GRC,cooking,2050.0,current,0.5602019001241827
heat_demand,commercial,HRV,cooking,2050.0,current,0.6144105615563341
heat_demand,commercial,HUN,cooking,2050.0,current,0.857990675800854
heat_demand,commercial,IRL,cooking,2050.0,current,0.8169004797608543
heat_demand,commercial,ISL,cooking,2050.0,current,0.7351023556791298
heat_demand,commercial,ITA,cooking,2050.0,current,0.648864885403487
heat_demand,commercial,LTU,cooking,2050.0,current,0.8148635249948805
heat_demand,commercial,LUX,cooking,2050.0,current,0.8344268429590023
heat_demand,commercial,LVA,cooking,2050.0,current,0.8177338812077908
heat_demand,commercial,MKD,cooking,2050.0,current,0.6916061472367494
heat_demand,commercial,MNE,cooking,2050.0,current,0.6916061472367494
heat_demand,commercial,NLD,cooking,2050.0,current,0.7500463753063871
heat_demand,commercial,NOR,cooking,2050.0,current,0.9207778317145507
heat_demand,commercial,POL,cooking,2050.0,current,0.8399047609431751
heat_demand,commercial,PRT,cooking,2050.0,current,0.5703910910532316
heat_demand,commercial,ROU,cooking,2050.0,current,0.8480583650624881
heat_demand,commercial,SRB,cooking,2050.0,current,0.6916061472367494
heat_demand,commercial,SVK,cooking,2050.0,current,0.8346936328320124
heat_demand,commercial,SVN,cooking,2050.0,current,0.7121528751855589
heat_demand,commercial,SWE,cooking,2050.0,current,0.9207778317145507
heat_demand,commercial,ALB,cooking,2050.0,government-directed,0.6916061472367494
heat_demand,commercial,AUT,cooking,2050.0,government-directed,0.7333043659988535
heat_demand,commercial,BEL,cooking,2050.0,government-directed,0.6718162646179853
heat_demand,commercial,BGR,cooking,2050.0,government-directed,0.5773692336398881
heat_demand,commercial,BIH,cooking,2050.0,government-directed,0.6916061472367494
heat_demand,commercial,CHE,cooking,2050.0,government-directed,0.7333043659988535
heat_demand,commercial,CYP,cooking,2050.0,government-directed,0.8683095106007023
heat_demand,commercial,CZE,cooking,2050.0,government-directed,0.820910343856402
heat_demand,commercial,DEU,cooking,2050.0,government-directed,0.694096072392943
heat_demand,commercial,DNK,cooking,2050.0,government-directed,0.749021297075807
heat_demand,commercial,ESP,cooking,2050.0,government-directed,0.6444983960349912
heat_demand,commercial,EST,cooking,2050.0,government-directed,0.9075532641754367
heat_demand,commercial,FIN,cooking,2050.0,government-directed,0.7351023556791298
heat_demand,commercial,FRA,cooking,2050.0,government-directed,0.6726729886952902
heat_demand,commercial,GBR,cooking,2050.0,government-directed,0.8009355812568625
heat_demand,commercial,GRC,cooking,2050.0,government-directed,0.5602019001241827
heat_demand,commercial,HRV,cooking,2050.0,government-directed,0.6144105615563341
heat_demand,commercial,HUN,cooking,2050.0,government-directed,0.857990675800854
heat_demand,commercial,IRL,cooking,2050.0,government-directed,0.8169004797608543
heat_demand,commercial,ISL,cooking,2050.0,government-directed,0.7351023556791298
heat_demand,commercial,ITA,cooking,2050.0,government-directed,0.648864885403487
heat_demand,commercial,LTU,cooking,2050.0,government-directed,0.8148635249948805
heat_demand,commercial,LUX,cooking,2050.0,government-directed,0.8344268429590023
heat_demand,commercial,LVA,cooking,2050.0,government-directed,0.8177338812077908
heat_demand,commercial,MKD,cooking,2050.0,government-directed,0.6916061472367494
heat_demand,commercial,MNE,cooking,2050.0,government-directed,0.6916061472367494
heat_demand,commercial,NLD,cooking,2050.0,government-directed,0.7500463753063871
heat_demand,commercial,NOR,cooking,2050.0,government-directed,0.9207778317145507
heat_demand,commercial,POL,cooking,2050.0,government-directed,0.8399047609431751
heat_demand,commercial,PRT,cooking,2050.0,government-directed,0.5703910910532316
heat_demand,commercial,ROU,cooking,2050.0,government-directed,0.8480583650624881
heat_demand,commercial,SRB,cooking,2050.0,government-directed,0.6916061472367494
heat_demand,commercial,SVK,cooking,2050.0,government-directed,0.8346936328320124
heat_demand,commercial,SVN,cooking,2050.0,government-directed,0.7121528751855589
heat_demand,commercial,SWE,cooking,2050.0,government-directed,0.9207778317145507
heat_demand,commercial,ALB,cooking,2050.0,market-driven,0.570336757897369
heat_demand,commercial,AUT,cooking,2050.0,market-driven,0.592151570676736
heat_demand,commercial,BEL,cooking,2050.0,market-driven,0.5720128103149937
heat_demand,commercial,BGR,cooking,2050.0,market-driven,0.4991273717788165
heat_demand,commercial,BIH,cooking,2050.0,market-driven,0.570336757897369
heat_demand,commercial,CHE,cooking,2050.0,market-driven,0.592151570676736
heat_demand,commercial,CYP,cooking,2050.0,market-driven,0.8151140675163128
heat_demand,commercial,CZE,cooking,2050.0,market-driven,0.6651829618480564
heat_demand,commercial,DEU,cooking,2050.0,market-driven,0.5965955575460753
heat_demand,commercial,DNK,cooking,2050.0,market-driven,0.6296406066068057
heat_demand,commercial,ESP,cooking,2050.0,market-driven,0.48637001208302594
heat_demand,commercial,EST,cooking,2050.0,market-driven,0.7276539538643931
heat_demand,commercial,FIN,cooking,2050.0,market-driven,0.6153722190623668
heat_demand,commercial,FRA,cooking,2050.0,market-driven,0.5693874046052977
heat_demand,commercial,GBR,cooking,2050.0,market-driven,0.649677411965598
heat_demand,commercial,GRC,cooking,2050.0,market-driven,0.5435082096043623
heat_demand,commercial,HRV,cooking,2050.0,market-driven,0.5128870642323781
heat_demand,commercial,HUN,cooking,2050.0,market-driven,0.677706180212722
heat_demand,commercial,IRL,cooking,2050.0,market-driven,0.7157023077871051
heat_demand,commercial,ISL,cooking,2050.0,market-driven,0.6153722190623668
heat_demand,commercial,ITA,cooking,2050.0,market-driven,0.5426798024844753
heat_demand,commercial,LTU,cooking,2050.0,market-driven,0.6464262674661249
heat_demand,commercial,LUX,cooking,2050.0,market-driven,0.6939330021492683
heat_demand,commercial,LVA,cooking,2050.0,market-driven,0.6412363916996768
heat_demand,commercial,MKD,cooking,2050.0,market-driven,0.570336757897369
heat_demand,commercial,MNE,cooking,2050.0,market-driven,0.570336757897369
heat_demand,commercial,NLD,cooking,2050.0,market-driven,0.6193921609750233
heat_demand,commercial,NOR,cooking,2050.0,market-driven,0.7626024578567937
heat_demand,commercial,POL,cooking,2050.0,market-driven,0.6693440555520305
heat_demand,commercial,PRT,cooking,2050.0,market-driven,0.4476081474916123
heat_demand,commercial,ROU,cooking,2050.0,market-driven,0.6184549636585662
heat_demand,commercial,SRB,cooking,2050.0,market-driven,0.570336757897369
heat_demand,commercial,SVK,cooking,2050.0,market-driven,0.6516259876783111
heat_demand,commercial,SVN,cooking,2050.0,market-driven,0.5728706136896613
heat_demand,commercial,SWE,cooking,2050.0,market-driven,0.7626024578567937
heat_demand,commercial,ALB,cooking,2050.0,neutral,0.570336757897369
heat_demand,commercial,AUT,cooking,2050.0,neutral,0.592151570676736
heat_demand,commercial,BEL,cooking,2050.0,neutral,0.5720128103149937
heat_demand,commercial,BGR,cooking,2050.0,neutral,0.4991273717788165
heat_demand,commercial,BIH,cooking,2050.0,neutral,0.570336757897369
heat_demand,commercial,CHE,cooking,2050.0,neutral,0.592151570676736
heat_demand,commercial,CYP,cooking,2050.0,neutral,0.8151140675163128
heat_demand,commercial,CZE,cooking,2050.0,neutral,0.6651829618480564
heat_demand,commercial,DEU,cooking,2050.0,neutral,0.5965955575460753
heat_demand,commercial,DNK,cooking,2050.0,neutral,0.6296406066068057
heat_demand,commercial,ESP,cooking,2050.0,neutral,0.48637001208302594
heat_demand,commercial,EST,cooking,2050.0,neutral,0.7276539538643931
heat_demand,commercial,FIN,cooking,2050.0,neutral,0.6153722190623668
heat_demand,commercial,FRA,cooking,2050.0,neutral,0.5693874046052977
heat_demand,commercial,GBR,cooking,2050.0,neutral,0.649677411965598
heat_demand,commercial,GRC,cooking,2050.0,neutral,0.5435082096043623
heat_demand,commercial,HRV,cooking,2050.0,neutral,0.5128870642323781
heat_demand,commercial,HUN,cooking,2050.0,neutral,0.677706180212722
heat_demand,commercial,IRL,cooking,2050.0,neutral,0.7157023077871051
heat_demand,commercial,ISL,cooking,2050.0,neutral,0.6153722190623668
heat_demand,commercial,ITA,cooking,2050.0,neutral,0.5426798024844753
heat_demand,commercial,LTU,cooking,2050.0,neutral,0.6464262674661249
heat_demand,commercial,LUX,cooking,2050.0,neutral,0.6939330021492683
heat_demand,commercial,LVA,cooking,2050.0,neutral,0.6412363916996768
heat_demand,commercial,MKD,cooking,2050.0,neutral,0.570336757897369
heat_demand,commercial,MNE,cooking,2050.0,neutral,0.570336757897369
heat_demand,commercial,NLD,cooking,2050.0,neutral,0.6193921609750233
heat_demand,commercial,NOR,cooking,2050.0,neutral,0.7626024578567937
heat_demand,commercial,POL,cooking,2050.0,neutral,0.6693440555520305
heat_demand,commercial,PRT,cooking,2050.0,neutral,0.4476081474916123
heat_demand,commercial,ROU,cooking,2050.0,neutral,0.6184549636585662
heat_demand,commercial,SRB,cooking,2050.0,neutral,0.570336757897369
heat_demand,commercial,SVK,cooking,2050.0,neutral,0.6516259876783111
heat_demand,commercial,SVN,cooking,2050.0,neutral,0.5728706136896613
heat_demand,commercial,SWE,cooking,2050.0,neutral,0.7626024578567937
heat_demand,commercial,ALB,cooking,2050.0,people-powered,1.5313849191421551
heat_demand,commercial,AUT,cooking,2050.0,people-powered,1.4892381347165127
heat_demand,commercial,BEL,cooking,2050.0,people-powered,1.4270169531288601
heat_demand,commercial,BGR,cooking,2050.0,people-powered,1.215580348917784
heat_demand,commercial,BIH,cooking,2050.0,people-powered,1.5313849191421551
heat_demand,commercial,CHE,cooking,2050.0,people-powered,1.4892381347165127
heat_demand,commercial,CYP,cooking,2050.0,people-powered,1.8076226097955168
heat_demand,commercial,CZE,cooking,2050.0,people-powered,1.6185586754331125
heat_demand,commercial,DEU,cooking,2050.0,people-powered,1.4225326238583118
heat_demand,commercial,DNK,cooking,2050.0,people-powered,1.6558722770406546
heat_demand,commercial,ESP,cooking,2050.0,people-powered,1.583735476807562
heat_demand,commercial,EST,cooking,2050.0,people-powered,1.7926098216266486
heat_demand,commercial,FIN,cooking,2050.0,people-powered,1.464439514467991
heat_demand,commercial,FRA,cooking,2050.0,people-powered,1.5087650294571555
heat_demand,commercial,GBR,cooking,2050.0,people-powered,1.6501844637915835
heat_demand,commercial,GRC,cooking,2050.0,people-powered,1.5212561820989274
heat_demand,commercial,HRV,cooking,2050.0,people-powered,1.4257743529133966
heat_demand,commercial,HUN,cooking,2050.0,people-powered,1.7571315245664938
heat_demand,commercial,IRL,cooking,2050.0,people-powered,1.723133514078698
heat_demand,commercial,ISL,cooking,2050.0,people-powered,1.464439514467991
heat_demand,commercial,ITA,cooking,2050.0,people-powered,1.3575327953606122
heat_demand,commercial,LTU,cooking,2050.0,people-powered,1.4735660463376914
heat_demand,commercial,LUX,cooking,2050.0,people-powered,1.7820477139939974
heat_demand,commercial,LVA,cooking,2050.0,people-powered,1.4749208143865864
heat_demand,commercial,MKD,cooking,2050.0,people-powered,1.5313849191421551
heat_demand,commercial,MNE,cooking,2050.0,people-powered,1.5313849191421551
heat_demand,commercial,NLD,cooking,2050.0,people-powered,1.4486403413786482
heat_demand,commercial,NOR,cooking,2050.0,people-powered,1.763181144009382
heat_demand,commercial,POL,cooking,2050.0,people-powered,1.649808134919525
heat_demand,commercial,PRT,cooking,2050.0,people-powered,1.3870066409529622
heat_demand,commercial,ROU,cooking,2050.0,people-powered,1.7371821872141737
heat_demand,commercial,SRB,cooking,2050.0,people-powered,1.5313849191421551
heat_demand,commercial,SVK,cooking,2050.0,people-powered,1.5231346072843601
heat_demand,commercial,SVN,cooking,2050.0,people-powered,1.64740376250078
heat_demand,commercial,SWE,cooking,2050.0,people-powered,1.763181144009382
heat_demand,commercial,ALB,space_heat,2030.0,current,1.0165005251371664
heat_demand,commercial,AUT,space_heat,2030.0,current,0.9824638217968106
heat_demand,commercial,BEL,space_heat,2030.0,current,0.823897421288008
heat_demand,commercial,BGR,space_heat,2030.0,current,0.8886289686120975
heat_demand,commercial,BIH,space_heat,2030.0,current,1.0165005251371664
heat_demand,commercial,CHE,space_heat,2030.0,current,0.9824638217968106
heat_demand,commercial,CYP,space_heat,2030.0,current,0.8136470134047354
heat_demand,commercial,CZE,space_heat,2030.0,current,1.031851644492804
heat_demand,commercial,DEU,space_heat,2030.0,current,0.9845768388770478
heat_demand,commercial,DNK,space_heat,2030.0,current,1.0849828194835358
heat_demand,commercial,ESP,space_heat,2030.0,current,1.0382678914724333
heat_demand,commercial,EST,space_heat,2030.0,current,1.110841505618594
heat_demand,commercial,FIN,space_heat,2030.0,current,0.9716807003683383
heat_demand,commercial,FRA,space_heat,2030.0,current,0.9505483006906112
heat_demand,commercial,GBR,space_heat,2030.0,current,0.9145978173122294
heat_demand,commercial,GRC,space_heat,2030.0,current,0.9208266021764957
heat_demand,commercial,HRV,space_heat,2030.0,current,0.981956197365614
heat_demand,commercial,HUN,space_heat,2030.0,current,1.1268964879534702
heat_demand,commercial,IRL,space_heat,2030.0,current,1.0625086868559426
heat_demand,commercial,ISL,space_heat,2030.0,current,0.9716807003683383
heat_demand,commercial,ITA,space_heat,2030.0,current,0.8517342424808273
heat_demand,commercial,LTU,space_heat,2030.0,current,1.0705315446192527
heat_demand,commercial,LUX,space_heat,2030.0,current,1.0856092834848432
heat_demand,commercial,LVA,space_heat,2030.0,current,1.0502785238836616
heat_demand,commercial,MKD,space_heat,2030.0,current,1.0165005251371664
heat_demand,commercial,MNE,space_heat,2030.0,current,1.0165005251371664
heat_demand,commercial,NLD,space_heat,2030.0,current,0.9905980180686734
heat_demand,commercial,NOR,space_heat,2030.0,current,1.0369451398924752
heat_demand,commercial,POL,space_heat,2030.0,current,1.0243254521605578
heat_demand,commercial,PRT,space_heat,2030.0,current,0.8929958451096366
heat_demand,commercial,ROU,space_heat,2030.0,current,1.1641943695781551
heat_demand,commercial,SRB,space_heat,2030.0,current,1.0165005251371664
heat_demand,commercial,SVK,space_heat,2030.0,current,0.9573488564039472
heat_demand,commercial,SVN,space_heat,2030.0,current,1.0248565394169393
