country_code,cat_name,end_use,carrier_name,0
HUN,household,cooking,other_renewable,0.0
HUN,household,water_heating,solar_thermal,0.08161412618772815
HUN,household,space_heating,solar_thermal,0.03372762974226235
HUN,household,cooking,solar_thermal,0.0
HUN,household,water_heating,solid_fossil,0.07740504822371243
HUN,household,space_heating,solid_fossil,1.3011109871877233
HUN,household,cooking,solid_fossil,0.0
IRL,household,water_heating,biomass,0.005133730575873621
IRL,household,space_heating,biomass,0.30842901527496885
IRL,household,cooking,biomass,0.0
IRL,household,water_heating,electricity,0.9445597755739663
IRL,household,space_heating,electricity,1.936031166470084
IRL,household,cooking,electricity,1.1030197297152018
IRL,household,water_heating,heat,0.0
IRL,household,space_heating,heat,0.0
IRL,household,cooking,heat,0.0
IRL,household,water_heating,natural_gas,0.8440429122960054
IRL,household,space_heating,natural_gas,5.858780961863864
IRL,household,cooking,natural_gas,0.3671628821727666
IRL,household,water_heating,oil,1.7503243529676813
IRL,household,space_heating,oil,9.41287309860718
IRL,household,cooking,oil,0.09795638438191448
IRL,household,water_heating,other_renewable,0.0
IRL,household,space_heating,other_renewable,0.0
IRL,household,cooking,other_renewable,0.0
IRL,household,water_heating,solar_thermal,0.10606901018862726
IRL,household,space_heating,solar_thermal,0.004993587692336419
IRL,household,cooking,solar_thermal,0.0
IRL,household,water_heating,solid_fossil,0.6344194764312701
IRL,household,space_heating,solid_fossil,4.811727173039009
IRL,household,cooking,solid_fossil,0.0
ITA,household,water_heating,biomass,1.3973588361863298
ITA,household,space_heating,biomass,67.69319654537055
ITA,household,cooking,biomass,0.0
ITA,household,water_heating,electricity,11.527327585923631
ITA,household,space_heating,electricity,31.95542449699752
ITA,household,cooking,electricity,3.7995314464150187
ITA,household,water_heating,heat,1.6826580486520761
ITA,household,space_heating,heat,8.724447354585026
ITA,household,cooking,heat,0.0
ITA,household,water_heating,natural_gas,27.692232046940376
ITA,household,space_heating,natural_gas,159.38171274326655
ITA,household,cooking,natural_gas,12.876021359941424
ITA,household,water_heating,oil,2.021566411890083
ITA,household,space_heating,oil,20.408174000489506
ITA,household,cooking,oil,2.012885990258112
ITA,household,water_heating,other_renewable,0.0
ITA,household,space_heating,other_renewable,0.0
ITA,household,cooking,other_renewable,0.0
ITA,household,water_heating,solar_thermal,1.0043863881322483
ITA,household,space_heating,solar_thermal,0.6504777872232563
ITA,household,cooking,solar_thermal,0.0
ITA,household,water_heating,solid_fossil,0.0
ITA,household,space_heating,solid_fossil,0.0
ITA,household,cooking,solid_fossil,0.0
LTU,household,water_heating,biomass,0.2483974352973673
LTU,household,space_heating,biomass,5.035047621960325
LTU,household,cooking,biomass,0.17318676147365797
LTU,household,water_heating,electricity,0.08620132016190706
LTU,household,space_heating,electricity,0.027615664830150703
LTU,household,cooking,electricity,0.34817442736173443
LTU,household,water_heating,heat,0.8301662060457775
LTU,household,space_heating,heat,3.74184410649611
LTU,household,cooking,heat,0.0
LTU,household,water_heating,natural_gas,0.4893601383924654
LTU,household,space_heating,natural_gas,0.4828754600622993
LTU,household,cooking,natural_gas,0.7172302669257465
LTU,household,water_heating,oil,0.16505429458475326
LTU,household,space_heating,oil,0.22585045103796628
LTU,household,cooking,oil,0.0
LTU,household,water_heating,other_renewable,0.0
LTU,household,space_heating,other_renewable,0.0
LTU,household,cooking,other_renewable,0.0
LTU,household,water_heating,solar_thermal,0.0
LTU,household,space_heating,solar_thermal,0.0
LTU,household,cooking,solar_thermal,0.0
LTU,household,water_heating,solid_fossil,0.04045012288603955
LTU,household,space_heating,solid_fossil,0.6134998306766526
LTU,household,cooking,solid_fossil,0.0
LUX,household,water_heating,biomass,0.007172527247328302
LUX,household,space_heating,biomass,0.2916271114764803
LUX,household,cooking,biomass,0.0
LUX,household,water_heating,electricity,0.0805034540993723
LUX,household,space_heating,electricity,0.133148013016604
LUX,household,cooking,electricity,0.09268391733921426
LUX,household,water_heating,heat,1.0300434491330151e-06
LUX,household,space_heating,heat,8.969956550866988e-06
LUX,household,cooking,heat,0.0
LUX,household,water_heating,natural_gas,0.26673960065250507
LUX,household,space_heating,natural_gas,2.702723866509665
LUX,household,cooking,natural_gas,0.0983889758126828
LUX,household,water_heating,oil,0.13550934741928505
LUX,household,space_heating,oil,1.8814674568239196
LUX,household,cooking,oil,0.0
LUX,household,water_heating,other_renewable,0.0
LUX,household,space_heating,other_renewable,0.0
LUX,household,cooking,other_renewable,0.0
LUX,household,water_heating,solar_thermal,0.0
LUX,household,space_heating,solar_thermal,0.0
LUX,household,cooking,solar_thermal,0.0
LUX,household,water_heating,solid_fossil,0.0
LUX,household,space_heating,solid_fossil,0.0
LUX,household,cooking,solid_fossil,0.0
LVA,household,water_heating,biomass,0.4077961978441002
