,REGISTRY_COD,INSTALLATION_NAME,INSTALLATION_IDENTIFIER,PERMIT_IDENTIFIER,MAIN_ACTIVITY_TYPE_CODE,COMPLIANCE_CODE,COMPLIANCE_STATUS_LATEST_YEAR,TOTAL_VERIFIED_EMISSIONS,TOTAL_SURRENDERED_ALLOWANCES,YEAR_OF_FIRST_EMISSIONS,YEAR_OF_LAST_EMISSIONS,ACCOUNT_CLOSURE,url_id,lat,lon
3941,ES,"Bona Ochoa, S.L.",90068,ES025008001361,32,A,2017,1075,1075,2011,2017,OPEN,99501,41.7721389,-1.1146301
3943,ES,"Bormioli Rocco, S.A.",379,ES071907000463,31,A,2018,167906,167906,2005,NOT SET,OPEN,99015,40.5592631,-3.2589168
3944,ES,"Bovedillas Cerámicas Andaluzas, S.A.",71,ES011108000080,32,A,2016,28955,28955,2005,2016,07-SEP-2018,99054,36.7605939,-5.8137189
3945,ES,Bp Oil España S.A.U,587,ES101202000682,21,A,2018,6932195,6932195,2005,NOT SET,OPEN,98711,40.2108,0.0272
3946,ES,"Brayen, S.L.",202181,ES10121310841,32,A,2016,18715,18715,2013,2016,17-DEC-2018,107312,40.1333,-0.2833
3959,ES,"CAL INDUSTRIAL, S.L.",389,ES081706000473,30,A,2018,218086,218086,2005,NOT SET,OPEN,99030,42.0114806,2.8253348
3971,ES,"CEMENTOS COSMOS, S.A. - Niebla",13,ES012106000013,29,A,2018,2334870,2334870,2005,NOT SET,OPEN,98560,37.3640191,-6.681518199999999
3976,ES,"COMPACGLASS, S.L",539,ES101208000629,32,A,2018,348455,348455,2005,NOT SET,OPEN,98671,39.957553,-0.2124209
3977,ES,"COMPACGLASS, S.L",831,ES101201000977,32,A,2018,556381,556381,2005,NOT SET,OPEN,98500,39.961591,-0.2187398
3978,ES,"COMPACGLASS, S.L. - Fábrica IV",204982,ES10121310-793,32,A,2018,277475,277475,2013,NOT SET,OPEN,110367,39.957553,-0.2124209
3980,ES,Cal Industrial S.L,739,ES183106000875,30,A,2018,769622,769622,2005,NOT SET,OPEN,98395,42.6940781,-1.6393237
3981,ES,Cal de Castilla S.A.,697,ES152806000823,30,A,2018,499786,499786,2005,NOT SET,OPEN,98487,40.2607712,-3.3881801
3982,ES,Calera de Alzo S.L,759,ES192006000895,30,A,2018,1260075,1260075,2005,NOT SET,OPEN,99207,43.068,-2.0834
3983,ES,"Calera de Alzo, S.L.",760,ES192006000896,6,A,2013,0,0,2005,2013,01-JUL-2014,99212,43.0778,-2.5125
3984,ES,Calera de San Cucao S.A.,195,ES033306000209,30,A,2018,273117,273117,2005,NOT SET,OPEN,98593,43.4476,-5.8854
3985,ES,Cales Granada S.A.,3,ES011806000003,30,A,2018,121632,121632,2005,NOT SET,OPEN,99040,37.2220697,-3.5138463
3986,ES,Cales de Llierca S.A.,386,ES081706000470,30,A,2018,374258,374258,2005,NOT SET,OPEN,98654,42.2333,2.6333
3987,ES,Cales de Pachs S.A.,387,ES080806000471,30,A,2018,577989,577989,2005,NOT SET,OPEN,98893,41.3624489,1.6881104
3988,ES,Cales de la Plana S.A,542,ES101206000632,30,A,2018,306315,306315,2005,NOT SET,OPEN,98674,39.7835312,-0.1958302
3989,ES,Calgov S.A.,5,ES014106000005,30,A,2018,913317,913317,2005,NOT SET,OPEN,99042,37.2881481,-4.8709937
3990,ES,"Calgov, S.A.",4,ES014106000004,30,A,2015,19410,19410,2005,2015,08-SEP-2016,99041,37.2871607,-4.8715795
3991,ES,"Campo Brick, S.L.",656,ES121508000756,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98943,43.085875,-8.202606
3999,ES,"Casimiro Hernández e Hijos la Maruxiña, S.A",912,ES074501001069,34,EXCLUDED SINCE 2013,0,0,0,2006,NOT SET,OPEN,98434,40.0137383,-3.8003348
4000,ES,"Castellar Vidrio, S.A.",516,ES080807000603,31,A,2018,460185,460185,2005,NOT SET,OPEN,99106,41.5909932,2.0925553
4001,ES,"Cañada, S.A.",202524,ES02441310-627,32,A,2013,0,0,2013,2013,30-JUN-2015,107611,41.05,-0.1333
4002,ES,"Celanese Chemicals Iberica, S.L., planta VAM",201834,ES08432310-936,42,A,2013,12773,12773,2013,2013,30-JUN-2015,107052,37.9752754,-1.2368537
4003,ES,Celltech,239,ES053909000311,35,A,2014,112,112,2005,2014,OPEN,99252,43.3554,-4.067
4004,ES,"Celltech, S.L.U.",209006,ES05391616-42792,35,A,2018,534,534,2016,NOT SET,OPEN,114910,43.3554,-4.067
4005,ES,"Celsa Atlantic, S.L. - División Largos",205190,ES12150610-649,25,A,2018,209045,209045,2013,NOT SET,OPEN,110560,43.2780467,-8.6066855
4006,ES,"Celsa Atlantic, S.L. planta de Vitoria-Gasteiz",204990,ES19010610-699,25,A,2014,6888,6888,2013,2014,14-JUN-2016,110375,8.32279,-73.74268
4007,ES,Celulosa de Levante S.A.,444,ES084309000530,35,A,2018,34211,34211,2005,NOT SET,OPEN,99583,40.8125,0.5216
4008,ES,Celulosas Moldeadas S.A.,778,ES194809000917,36,A,2018,146807,146807,2005,NOT SET,OPEN,99147,43.1321564,-2.5875121
4009,ES,Celulosas de Asturias S.A.,211,ES033309000225,35,A,2018,364447,364447,2005,NOT SET,OPEN,98941,43.518556,-6.7232175
4010,ES,Celulosas de Hernani S.A.,776,ES192009000915,35,A,2013,0,0,2005,2013,10-OCT-2016,99242,43.2708775,-1.9676969
4011,ES,Cementos Alfa S.A. Fábrica de Mataporquera,236,ES053906000308,29,A,2018,2105258,2105258,2005,NOT SET,OPEN,99560,42.8720153,-4.166499
4012,ES,Cementos Cosmos S.A. - Instalación de León,248,ES062406000320,29,A,2018,3027269,3027269,2005,NOT SET,OPEN,99255,42.5534676,-6.7696434
4013,ES,Cementos Cosmos S.A.- Instalación de Lugo,629,ES122706000725,29,A,2018,439904,439904,2005,NOT SET,OPEN,98720,42.2328,-8.7226
4014,ES,"Cementos Cosmos, S.A. - Córdoba",12,ES011406000012,29,A,2018,1268427,1268427,2005,NOT SET,OPEN,98460,37.9018009,-4.7622871
4015,ES,"Cementos Lemona, S.A",761,ES194806000897,29,A,2018,2309442,2309442,2005,NOT SET,OPEN,99217,43.2033,-2.8102
4016,ES,Cementos Molins Industrial S.A.,390,ES080806000474,29,A,2018,5951511,5951511,2005,NOT SET,OPEN,99095,40.0,-4.0
4017,ES,Cementos Molins Industrial S.A.U,392,ES080806000476,29,A,2013,0,0,2005,2013,OPEN,99577,41.3901869,2.0487031
4018,ES,Cementos Portland Valderribas S.A. - Olazagutía,741,ES183106000877,29,A,2018,1697048,1697048,2005,NOT SET,OPEN,98743,42.8817479,-2.1873969
4019,ES,Cementos Portland Valderribas S.A. - Sitges,394,ES080806000478,29,A,2018,101946,101946,2005,NOT SET,OPEN,98894,41.2351,1.8119
4020,ES,Cementos Portland Valderribas S.A.-Venta de Baños,249,ES063406000321,29,A,2018,1502252,1502252,2005,NOT SET,OPEN,99451,41.9208,-4.476
4021,ES,Cementos Portland Valderrivas - Alcalá de Guadaira,7,ES014106000007,29,A,2018,3088792,3088792,2005,NOT SET,OPEN,99415,37.3331923,-5.8268619
4022,ES,Cementos Portland Valderrivas - Morata de Tajuña,699,ES150406000825,29,A,2018,3048236,3048236,2005,NOT SET,OPEN,99131,40.2322209,-3.4338107
4023,ES,"Cementos Tudela Veguin, S.A. - La Robla",250,ES062406000322,29,A,2018,4274647,4274647,2005,NOT SET,OPEN,98622,42.7966265,-5.6249477
4024,ES,"Cementos del Marquesado, S.A",18668079,ES011806000983,29,A,2016,0,0,2008,2016,25-JAN-2019,99411,37.2567,-3.0979
4025,ES,Cemex España Operaciones - Instalación de Gádor,11,ES010406000011,29,A,2018,2539266,2539266,2005,NOT SET,OPEN,98459,36.9532,-2.4925
4026,ES,Cemex España Operaciones S.L.U. Morata de Jalón,159,ES025006000170,29,A,2018,2235169,2235169,2005,NOT SET,OPEN,99238,41.4742251,-1.4735869
4027,ES,"Cemex España Operaciones, S.L.U. - Alcanar",391,ES084306000475,29,A,2018,3899818,3899818,2005,NOT SET,OPEN,99576,40.5853148,0.5598844
4028,ES,"Cemex España Operaciones, S.L.U. - Castillejo",304,ES074506000383,29,A,2018,293490,293490,2005,NOT SET,OPEN,98878,39.949634,-3.738774
4029,ES,"Cemex España Operaciones, S.L.U.- LLoseta",675,ES130706000775,29,A,2018,1316696,1316696,2005,NOT SET,OPEN,98483,39.7185,2.8669
4030,ES,"Cemex España Operaciones, S.L.U.-Buñol",544,ES104606000634,29,A,2018,3998559,3998559,2005,NOT SET,OPEN,98699,39.4351535,-0.7730091
4031,ES,Cemex España S.A.- San Vicente,543,ES104606000633,29,A,2018,3953189,3953189,2005,NOT SET,OPEN,98923,38.3852446,-0.5143160999999999
4052,ES,"Cerabrick Grupo Cerámico, S.A.",689,ES142608000815,32,A,2015,42029,42029,2005,2015,13-JUL-2017,99610,42.464046,-2.5635203
4053,ES,"Ceracasa, SA",202795,ES10121310-748,32,A,2018,36800,36800,2013,NOT SET,OPEN,107954,40.0667,-0.2
4054,ES,"Ceracasa, SA",206224,ES10121313-17421,32,B,2015,15207,13505,2013,2015,16-JUL-2018,111668,40.076692,-0.2129532
4055,ES,Ceraespina S.L.,217,ES033308000231,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98949,43.3935608,-6.324099299999999
4056,ES,"Cerama, S.L.",331,ES074508000412,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,99086,40.0469889,-3.8383043
4057,ES,Ceramica Hermanos Zarza S.L.,285,ES060508000363,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98632,40.8731982,-4.9695293
4058,ES,Ceramica Vereda de Valderrepiso de Bailen S.A.U.,122,ES012308000132,32,A,2018,3984,3984,2005,NOT SET,OPEN,99063,38.090178,-3.783018199999999
4059,ES,"Ceramosa,S.L.-Sueca",604,ES104608000699,32,A,2018,42548,42548,2005,NOT SET,OPEN,99119,39.2026,-0.3111
4060,ES,"Ceramosa,S.L.-Villar",605,ES104608000700,32,A,2015,6775,6775,2005,2015,30-JUN-2016,99601,39.730601,-0.825464
4061,ES,Ceranor II,843,ES062408000972,32,A,2018,178415,178415,2006,NOT SET,OPEN,98766,42.29011879999999,-5.522049099999999
4062,ES,"Ceranor, S.A. - Ceranor I",295,ES062408000373,32,A,2018,259219,259219,2005,NOT SET,OPEN,99265,42.29011879999999,-5.522049099999999
4063,ES,Cerfrit S.A.,552,ES101207000643,31,A,2018,82031,82031,2005,NOT SET,OPEN,98703,39.8307315,-0.1680012
4064,ES,"Cerlat, S.A.",203627,ES10121310-788,32,A,2018,34396,34396,2013,NOT SET,OPEN,108926,40.0085386,-0.2691055
4065,ES,"Cerpa, S.L.",202627,ES10121310-777,32,A,2018,75003,75003,2013,NOT SET,OPEN,107715,39.9667,-0.25
4067,ES,"Cerámica Acústica, S.L.",286,ES064908000364,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98984,41.3414,-5.7369
4068,ES,"Cerámica Arribas, S.L.",714,ES152808000840,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98956,40.3896431,-3.4074971
4069,ES,Cerámica Arévalo S.L.,298,ES064008000377,32,A,2018,2600,2600,2005,NOT SET,OPEN,99267,41.1243016,-4.268494899999999
4070,ES,"Cerámica Añón, S.L.",754,ES183108000890,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98490,42.0659813,-1.6168155
4071,ES,Cerámica Bailén S.C.A.,74,ES012308000083,32,A,2015,1064,1064,2005,2015,14-JUN-2016,98567,38.090178,-3.783018199999999
4072,ES,"Cerámica Barrasa, S.A.",332,ES074508000413,32,C,2017,NOT CALCULATED,22664,2005,2017,OPEN,99275,39.9376221,-3.9180736
4073,ES,"Cerámica Belianes, S.L.",482,ES082508000568,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,99289,41.5706322,1.0113
4074,ES,"Cerámica Carbonell, S.L.",588,ES100308000683,8,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,99303,38.4401002,-0.6426033
4075,ES,Cerámica Carbonero,281,ES064008000359,32,A,2018,6950,6950,2005,NOT SET,OPEN,99454,41.1243016,-4.268494899999999
4076,ES,Cerámica Chinchilla S.A.L.,333,ES070208000414,32,A,2018,7796,7796,2005,NOT SET,OPEN,99569,38.8850241,-1.7488714
4077,ES,Cerámica Conca S.L.,589,ES100308000684,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,99599,38.6293148,-0.7710328
4078,ES,"Cerámica Cuesta Vila, S.A.",282,ES064908000360,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,99455,41.5422558,-5.4009152
4079,ES,Cerámica Cullere S.A.,483,ES082508000569,32,A,2013,0,0,2005,2013,22-SEP-2016,98679,41.5582521,1.0173083
4080,ES,Cerámica Da Moura S.L.,658,ES123608000758,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98945,42.0735315,-8.626492599999999
4081,ES,Cerámica Dobón S.A. CEDOSA,187,ES022208000201,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98587,41.721601,0.11542
4082,ES,Cerámica D´Almacelles S.A.,484,ES082508000570,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98681,41.9155377,0.2166572
4083,ES,"Cerámica El Mazarrón, S.L. - Tejas",335,ES074508000416,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98883,40.077319,-3.861023
4084,ES,"Cerámica El Torrente, S.L.",87,ES011808000096,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98513,36.9274,-3.5415
4085,ES,Cerámica Elu S.L.,337,ES074508000418,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,99276,40.04789299999999,-3.8376591
4086,ES,"Cerámica Espíritu Santo, S.A.",338,ES074508000419,32,A,2018,89344,89344,2005,NOT SET,OPEN,99087,40.0298597,-3.916699
4087,ES,Cerámica Europa de Bailen S.C.A.,88,ES012308000097,32,A,2018,5018,5018,2005,NOT SET,OPEN,98519,38.0964,-3.7779
4088,ES,"Cerámica Farreny, S.A.",485,ES082508000571,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,99290,41.9048,1.0643
4089,ES,"Cerámica Fuste, S.A.",487,ES082508000573,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98656,41.6325363,0.8764978999999999
4090,ES,"Cerámica García Cuesta, S.A.",284,ES064008000362,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98978,41.1593774,-4.4880614
4091,ES,Cerámica Gayga S.L.,90,ES012308000099,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98876,38.090178,-3.783018199999999
4092,ES,"Cerámica Gómez, S.A.",202258,ES10121310780,32,A,2018,61265,61265,2013,NOT SET,OPEN,107417,39.989834,-0.1051739
4093,ES,Cerámica Hermanos Hernández S.A.,339,ES074508000420,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,99572,40.077319,-3.861023
4094,ES,"Cerámica Industrial San Francisco de Bailén, S.L",94,ES012308000103,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,99429,38.0992593,-3.762388499999999
4095,ES,"Cerámica Internacional, S.L.",591,ES100308000686,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,99304,38.4075856,-0.5543123
4096,ES,Cerámica Isidro Lorenzo Vázquez,287,ES064908000365,32,A,2014,529,529,2005,2014,OPEN,98613,41.986394,-5.6031545
4097,ES,Cerámica J. Ruiz e Hijos S.A.,340,ES074508000421,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,99573,39.9468908,-4.831904
4098,ES,"Cerámica Llanos, S.A.",288,ES060908000366,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,99458,42.5582333,-3.3207078
4099,ES,"Cerámica Malpesa, S.A.",113,ES012308000123,32,A,2018,56397,56397,2005,NOT SET,OPEN,98574,38.0047928,-3.9151869
4100,ES,Cerámica Marlo S.A.,813,ES190108000953,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,99158,42.7127,-2.8398
4101,ES,"Cerámica Mateo, S.L.",345,ES071308000426,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98997,38.6455429,-3.4534218
4102,ES,"Cerámica Mayor, S.A.",593,ES100308000688,32,A,2018,27433,27433,2005,NOT SET,OPEN,98938,38.65,-0.1167
4103,ES,Cerámica Menéndez S.A.,218,ES033308000232,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,99248,43.3777059,-5.8329146
4104,ES,"Cerámica Millas Hijos, S.A.",346,ES074508000427,32,A,2018,127064,127064,2005,NOT SET,OPEN,98624,39.6863733,-3.766326
4105,ES,"Cerámica Mimas, S.L. - Planta 2",204947,ES10121310-736,32,A,2018,90179,90179,2013,NOT SET,OPEN,110311,40.0621664,-0.1896192
4106,ES,"Cerámica Miramar, S.L.",23527781,ES012308000963,32,A,2018,56274,56274,2007,NOT SET,OPEN,99364,38.0964,-3.7779
4107,ES,Cerámica Molla S.L.,594,ES104608000689,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98470,38.9900633,-0.5093963
4108,ES,"Cerámica Nuestra Señora de las Nieves, S.C.",347,ES070208000429,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,99088,40.61825,-1.34658
4109,ES,Cerámica Nulense,973,ES101201001131,32,A,2018,1034314,1034314,2006,NOT SET,OPEN,99385,39.853383,-0.152454
4110,ES,Cerámica Pastrana,348,ES074508000430,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,99089,39.54682,-3.847408
4111,ES,Cerámica Peñafiel S.A.,289,ES064708000367,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98614,41.6090062,-4.1636632
4112,ES,"Cerámica Peño, S.L.",330,ES074508000411,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98640,39.9645148,-4.837377
4113,ES,"Cerámica Pierola, S.L.",490,ES080808000576,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,99067,41.5276909,1.7558962
4114,ES,Cerámica Piña,290,ES063408000368,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98615,42.2125736,-4.43387
4115,ES,"Cerámica Ribesalbes, SA",202102,ES10121310803,32,A,2018,43223,43223,2013,NOT SET,OPEN,107254,40.0085386,-0.2691055
4116,ES,"Cerámica Riobóo, S.L.",661,ES121508000761,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,99167,43.299088,-8.3218505
4117,ES,"Cerámica Saloni, S.A.",974,ES101201001132,32,A,2018,306765,306765,2006,NOT SET,OPEN,98788,40.057688,-0.1402055
4118,ES,"Cerámica San Antolín, S.A.",291,ES063408000369,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98617,42.0454818,-4.5132495
4119,ES,"Cerámica Santa Lucia, S.L.",121,ES012308000131,8,A,2013,0,0,2005,2013,30-JUN-2014,99545,38.1961609,-3.6690961
4120,ES,"Cerámica Torregrosa, S.L.",595,ES100308000690,32,A,2018,31499,31499,2005,NOT SET,OPEN,98689,38.44,-0.6384
4121,ES,"Cerámica Tres Estilos, S.L.",202276,ES10121310886,32,B,2018,20893,18665,2013,NOT SET,OPEN,107439,40.0338872,-0.1522531
4122,ES,Cerámica Tudelana S.A.,755,ES183108000891,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,99198,42.067992,-1.6219926
4123,ES,Cerámica Técnica de Illescas,349,ES074508000431,27,C,2013,NOT CALCULATED,0,2005,2013,30-JUN-2016,99466,40.1221,-3.847
4124,ES,"Cerámica Utzubar, S.A.",756,ES183108000892,32,A,2018,66058,66058,2005,NOT SET,OPEN,99202,42.9079,-2.0647
4125,ES,"Cerámica Virgen de las Nieves, S.L.",596,ES100308000691,32,A,2018,45106,45106,2005,NOT SET,OPEN,99148,38.4075856,-0.5543123
4126,ES,"Cerámica Vives, S.A.",975,ES101201001133,32,A,2018,39976,39976,2006,NOT SET,OPEN,99012,40.07339,-0.21793
4127,ES,Cerámica Xunqueira S.A.,665,ES123208000765,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98479,42.2971657,-7.6422391
4128,ES,Cerámica Zamora,351,ES074508000433,32,A,2014,690,690,2005,2014,30-JUN-2015,98886,39.9468908,-4.831904
4129,ES,Cerámica Zaratán S.A.,293,ES064708000371,32,A,2018,38223,38223,2005,NOT SET,OPEN,98619,41.6552,-4.7237
4130,ES,Cerámica de Alhabia S.L.,78,ES010408000087,32,A,2018,27163,27163,2005,NOT SET,OPEN,98499,36.99,-2.5866
4131,ES,"Cerámica de Benalúa, S.C.A.",79,ES011808000088,32,A,2013,0,0,2005,2013,05-SEP-2014,99427,37.3564999,-3.1617799
4132,ES,Cerámica de Cabezón,208922,ES05391316-4779,32,A,2017,1544,1544,2016,2017,OPEN,114848,43.3082,-4.2357
4133,ES,Cerámica de Campanillas S.L.,80,ES012908000089,32,A,2017,2125,2125,2005,2017,OPEN,98861,36.7202,-4.4203
4134,ES,Cerámica de Puenteareas S.L.,659,ES123608000759,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,99124,42.1778,-8.5
4135,ES,"Cerámica de Teruel, S.A.",186,ES024408000200,32,A,2013,0,0,2005,2013,30-JUN-2015,98591,40.3602,-1.1787
4136,ES,Cerámica de Villace S.L.,283,ES062408000361,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,99457,42.34326799999999,-5.592279899999999
4137,ES,Cerámica de la Estanca S.A.,690,ES142608000816,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98735,42.29124849999999,-1.9465764
4138,ES,"Cerámica del Aljarafe, S.L.",81,ES014108000090,32,A,2018,13381,13381,2005,NOT SET,OPEN,99057,37.4618972,-6.056992
4139,ES,Cerámica del Nalón,215,ES033308000229,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98607,43.3028548,-5.7000148
4140,ES,Cerámica del Principado S.L,216,ES033308000230,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98863,43.3890055,-6.3309155
4141,ES,Cerámica del Reino S.L.,82,ES012308000091,32,B,2018,55609,52158,2005,NOT SET,OPEN,98847,38.1128005,-3.7626468
4142,ES,Cerámica el Portichuelo S.C.A.,86,ES012308000095,32,A,2014,259,259,2005,2014,OPEN,98568,38.09929260000001,-3.7623783
4143,ES,Cerámica el Índalo S.A.,85,ES010408000094,32,A,2014,703,703,2005,2014,19-OCT-2016,99428,37.9752754,-1.2368537
4144,ES,"Cerámica la Alameda, S.C.A.",96,ES012308000106,32,A,2014,180,180,2005,2014,01-JUL-2016,99430,38.090178,-3.783018199999999
4145,ES,Cerámica la Andaluza de Bailén,97,ES012308000107,32,A,2018,28517,28517,2005,NOT SET,OPEN,98523,38.1128736,-3.7629326
4146,ES,Cerámica la Coma S.A.,488,ES080808000574,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,99486,41.9048,1.0643
4147,ES,Cerámica la Escandella S.A.,592,ES100308000687,32,A,2018,177207,177207,2005,NOT SET,OPEN,98713,38.4368284,-0.6389144
4148,ES,"Cerámica la Esperanza, S.A.",206293,ES01111304-2245,32,A,2015,3321,3321,2013,2015,13-JUL-2017,111772,36.3067976,-5.261945799999999
4149,ES,Cerámica la Manchica S.L.,660,ES123208000760,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98712,42.225323,-7.928351999999999
4150,ES,Cerámica la Paloma S.L.,342,ES074508000423,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,99277,40.0469889,-3.8383043
4151,ES,Cerámica la Unión S.L.,104,ES012308000114,32,A,2018,17463,17463,2005,NOT SET,OPEN,99541,38.087786,-3.7784787
4152,ES,Cerámica las Losas,343,ES074508000424,32,A,2018,713,3145,2005,NOT SET,OPEN,98885,39.7827367,-4.1768309
4153,ES,Cerámica los Apares S.L.,344,ES074508000425,32,A,2013,0,0,2005,2013,30-JUN-2015,98993,40.0219241,-3.8560503
4154,ES,"Cerámicas Alcalá Villalta, S.A",124,ES012308000134,32,A,2013,0,0,2005,2013,OPEN,98555,38.090178,-3.783018199999999
4155,ES,Cerámicas Alonso S.L.- Castellón de Rugat,598,ES104608000693,32,A,2018,45397,45397,2005,NOT SET,OPEN,99600,38.8945,-0.3199
4156,ES,"Cerámicas Aparici, S.A.",202474,ES10121310-774,32,A,2018,28402,28402,2013,NOT SET,OPEN,107559,40.0438299,-0.1503056
4157,ES,"Cerámicas Aznar, S.L.",599,ES104608000694,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98692,39.1475014,-0.5248347
4158,ES,"Cerámicas Belcaire, S.A.",202436,ES10121310-771,32,A,2018,149373,149373,2013,NOT SET,OPEN,107517,39.8030294,-0.2191903
4159,ES,"Cerámicas Calaf, S.A.",492,ES080808000578,32,A,2018,15459,15459,2005,NOT SET,OPEN,99291,41.729257,1.510748
4160,ES,Cerámicas Casao S.A.,190,ES025008000204,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98590,41.2084064,-1.0833649
4161,ES,"Cerámicas Fanal, S.A.",202604,ES10121310-779,32,A,2018,49942,49942,2013,NOT SET,OPEN,107701,39.9707182,-0.2293752999999999
4162,ES,"Cerámicas Jornet, S.A.",602,ES104608000697,32,A,2018,37845,37845,2005,NOT SET,OPEN,98714,39.185898,-0.4828492
4163,ES,"Cerámicas L'Alcalaten, S.A.",203075,ES10121310-852,32,A,2018,39067,39067,2013,NOT SET,OPEN,108202,40.0581102,-0.1831171
4164,ES,"Cerámicas Mimas, S.L.",204923,ES10121310-731,32,A,2018,116615,116615,2013,NOT SET,OPEN,110310,40.0621664,-0.1896192
4165,ES,"Cerámicas Myr, S.L.",206015,ES10121310-876,32,A,2018,71043,71043,2013,NOT SET,OPEN,111360,40.0581102,-0.1831171
4166,ES,"Cerámicas Nomdedeu, S.A.",202882,ES10121310-781,32,A,2018,53624,53624,2013,NOT SET,OPEN,107976,40.0767685,-0.210125
4167,ES,Cerámicas Piera S.L. Centro Pierola,493,ES080808000579,32,A,2018,6068,6068,2005,NOT SET,OPEN,98684,41.5333,1.7667
4168,ES,Cerámicas Saza S.A.,294,ES064908000372,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98874,41.3601973,-5.7107975
4169,ES,"Cerámicas Valera, S.A. Centro 1",353,ES071308000435,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98642,38.6422039,-3.4581053
4170,ES,"Cerámicas Valera, S.A. Centro 2",354,ES071308000436,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98645,38.6448561,-3.4530283
4171,ES,"Cerámicas Vidal Beneyto, S.L.",603,ES104608000698,32,EXCLUDED SINCE 2013,0,0,0,2005,NOT SET,OPEN,98471,39.3833,-0.7
4172,ES,"Cerámicas Vilar Albaro, S.L.",205388,ES10121310-1309,32,A,2018,32921,32921,2013,2018,OPEN,110662,40.0645111,-0.1854699
4173,ES,Cerámicas de Mira S.L.,352,ES071608000434,32,A,2018,46088,46088,2005,NOT SET,OPEN,99574,39.7167,-1.4333
4174,ES,"Cerámicas del Foix, S.A.",202631,ES08081310-918,32,A,2013,16926,16926,2013,2013,30-JUN-2015,107720,41.32758,1.65699
