,REGISTRY_COD,INSTALLATION_NAME,INSTALLATION_IDENTIFIER,PERMIT_IDENTIFIER,MAIN_ACTIVITY_TYPE_CODE,COMPLIANCE_CODE,COMPLIANCE_STATUS_LATEST_YEAR,TOTAL_VERIFIED_EMISSIONS,TOTAL_SURRENDERED_ALLOWANCES,YEAR_OF_FIRST_EMISSIONS,YEAR_OF_LAST_EMISSIONS,ACCOUNT_CLOSURE,url_id,lat,lon
10992,LV,Installation 83,83,LV-RIT-20-II-SEG-32,1,A,2018,9472,9472,2005,NOT SET,OPEN,101822,56.79772120000001,23.9300621
10994,LV,Installation 95,96,LV-RIT-R-II-SEG-35,1,A,2018,120402,120402,2006,NOT SET,OPEN,101834,56.946,24.10589
10996,LV,Installation 99,100,LV-MAT-SEG-1-3202-004,1,A,2013,0,0,2006,2013,08-JUL-2014,101838,56.60132119999999,25.2540826
11010,MT,Delimara Power Station,220000000000002,MT-2,1,A,2018,4130116,4130116,2005,NOT SET,OPEN,"116212,96349",35.89167,14.50417
11014,MT,Marsa Power Station,220000000000001,MT-1,1,A,2018,879133,879133,2005,NOT SET,OPEN,"96348,116215",35.8808343,14.4968452
11045,NL,ADM Europoort B.V.,30,NL-200400109,1,A,2018,950885,950885,2005,NOT SET,OPEN,101114,51.9549664,4.1219301
11046,NL,AGC Flat Glass Nederland BV,134,NL-200400283,31,A,2015,2514,2514,2005,2015,02-NOV-2016,101053,51.9093416,5.446553799999999
11049,NL,AVEBE U.A. locatie Gasselternijveen,48,NL-200400188,1,A,2018,477633,477633,2005,NOT SET,OPEN,100958,52.987842,6.8620293
11050,NL,AVEBE U.A. locatie Ter Apelkanaal,49,NL-200400033,1,A,2018,700362,700362,2005,NOT SET,OPEN,100961,52.9195156,7.0446199
11053,NL,Abbott Healthcare Products BV,386,NL-200400022,1,A,2018,78765,78765,2008,NOT SET,OPEN,100758,52.3034328,5.0361517
11054,NL,Abbott Laboratories B.V.,282,NL-200600028,1,A,2018,92652,92652,2008,NOT SET,OPEN,101253,52.5167446,6.070619000000001
11061,NL,Air Liquide Industrie B.V. vest. Bergen op Zoom,204445,NL-200400028,43,A,2018,456138,456138,2013,NOT SET,OPEN,"109928,101075",51.5085253,4.253563300000001
11062,NL,"Air Liquide Industrie B.V., vest. Botlek-Rotterdam",203881,NL-200400113,21,A,2018,522481,522481,2013,NOT SET,OPEN,"109242,101074",51.8849556,4.2563783
11063,NL,Air Liquide Nederland BV - SMR2,203791,NL-201100046,43,A,2018,3364629,3364629,2013,NOT SET,OPEN,109136,51.43125630000001,5.438062599999999
11064,NL,"Air Products Nederland B.V., Locatie Botlek",203196,NL-201100042,43,A,2018,3789535,3789535,2013,NOT SET,OPEN,108354,51.8694695,4.2864523
11065,NL,"Air Products Nederland B.V., Locatie Botlek (Merseyweg)",104,NL-200400264,43,A,2018,1481637,1481637,2005,NOT SET,OPEN,101023,51.8735716,4.2601995
11066,NL,Akzo Nobel Chemicals B.V. (Hengelo),106,NL-200400177,1,A,2018,1634447,1634447,2005,NOT SET,OPEN,101026,52.2455965,6.791962
11067,NL,"Akzo Nobel Chemicals B.V., Farmsum",205765,NL-201100051,42,A,2018,17660,17660,2013,NOT SET,OPEN,111017,53.3140265,6.954134900000001
11069,NL,Albemarle Catalysts Company B.V.,126,NL-200400171,1,A,2018,401508,401508,2005,NOT SET,OPEN,101045,52.3856439,4.9386622
11075,NL,Ardagh Glass Dongen B.V.,137,NL-200400140,31,A,2018,564756,564756,2005,NOT SET,OPEN,101055,51.6107966,4.9950676
11076,NL,Ardagh Glass Moerdijk B.V.,135,NL-200400118,31,A,2018,359161,359161,2005,NOT SET,OPEN,101054,51.6771049,4.5949383
11106,NL,B.V. Steenfabriek Hedikhuizen,256,NL-200700114,32,A,2018,86315,86315,2008,NOT SET,OPEN,101227,51.73807619999999,5.209155
11107,NL,B.V. Steenfabriek Huissenswaard,257,NL-200400114,32,A,2018,124852,124852,2008,NOT SET,OPEN,101228,51.91094210000001,5.9870565
11108,NL,B.V. Steenfabriek Spijk,258,NL-200400121,8,A,2018,155867,155867,2008,NOT SET,OPEN,101229,51.844634,6.1608753
11109,NL,BP Raffinaderij Rotterdam B.V.,98,NL-200400017,21,A,2018,13266390,13266390,2005,NOT SET,OPEN,101018,51.9391364,4.1130531
11111,NL,Bavaria N.V.,68,NL-200400297,1,A,2018,297171,297171,2005,NOT SET,OPEN,100970,51.5172601,5.607687299999999
11112,NL,Beekenkamp Plants BV,287,NL-200700141,1,A,2018,96281,96281,2008,NOT SET,OPEN,101258,51.95537419999999,4.209241599999999
11114,NL,BioMethanol Chemie Nederland B.V.,204962,NL-200400205,43,A,2018,1646009,1646009,2013,NOT SET,OPEN,"110329,101037",53.3166911,6.967817699999999
11119,NL,Cabot B.V.,292,NL-200400203,37,A,2018,1408238,1408238,2008,NOT SET,OPEN,101263,51.89057769999999,4.2630359
11121,NL,Caldic Chemie B.V.,204966,NL-201100058,42,A,2018,82754,82754,2013,NOT SET,OPEN,110366,51.929783,4.1831165
11127,NL,Century Aluminum Vlissingen BV,206069,NL-201200101,27,A,2018,250314,250314,2013,NOT SET,OPEN,111516,51.4587367,3.702914499999999
11142,NL,Chemours Netherlands B.V.,111,NL-200400076,42,A,2018,646146,646146,2005,NOT SET,OPEN,101033,51.8153295,4.7271221
11144,NL,Croda Nederland B.V.,123,NL-200400146,1,A,2018,222623,222623,2005,NOT SET,OPEN,101043,52.0062461,4.7104652
11145,NL,Crown Van Gelder N.V.,76,NL-200400284,36,A,2018,837130,837130,2005,NOT SET,OPEN,100978,52.46572279999999,4.6383886
11146,NL,DAF Trucks N.V.,295,NL-200500022,1,A,2018,104306,104306,2008,NOT SET,OPEN,101266,51.4334034,5.5066183
11147,NL,DAMCO Aluminium Delfzijl Coöperatie U.A.,206186,NL-200400079,26,A,2018,472832,472832,2013,NOT SET,OPEN,"101089,111613",53.3056965,6.975574
11150,NL,DS Smith Paper De Hoop Mill,94,NL-200400141,36,A,2018,1146327,1146327,2005,NOT SET,OPEN,101013,52.0969955,6.0536102
11152,NL,DSM Delft Permit B.V.,109,NL-200400046,1,A,2018,319796,319796,2005,NOT SET,OPEN,101028,52.0159631,4.3393767
11153,NL,Dana Petroleum Netherlands B.V. facility F2-A-Hanze,17,NL-200400030,1,A,2018,245325,245325,2005,NOT SET,OPEN,101102,52.0632476,4.3443216
11154,NL,Dana Petroleum Netherlands B.V. facility P11-B-De Ruyter,211,NL-200600035,1,A,2018,179482,179482,2006,NOT SET,OPEN,101160,52.0632476,4.3443216
11156,NL,Dekker Chrysanten BV,297,NL-200700048,1,A,2013,6316,6316,2008,2013,04-DEC-2014,101268,52.66321379999999,4.8720503
11159,NL,Dow Benelux B.V. BKG 1,407,NL-200400084,42,A,2018,5124289,5124289,2008,NOT SET,OPEN,100796,51.3345937,3.7913142
11161,NL,Dow Benelux B.V. BKG 2,204681,NL-200400084A,42,A,2018,4235072,4235072,2013,NOT SET,OPEN,110148,51.3345937,3.7913142
11162,NL,Dow Benelux B.V. BKG 3,204682,NL-200400084B,42,A,2018,4627786,4627786,2013,NOT SET,OPEN,110149,51.3345937,3.7913142
11163,NL,Dow Benelux B.V. BKG 4,204683,NL-200400084C,42,A,2018,7170,7170,2013,NOT SET,OPEN,110150,51.3345937,3.7913142
11164,NL,Dow Benelux B.V. BKG 5,204684,NL-200400084D,42,A,2018,42302,42302,2013,NOT SET,OPEN,110151,51.3345937,3.7913142
11165,NL,Dow Benelux B.V. BKG 6,204685,NL-200400084E,42,A,2018,562800,562800,2013,NOT SET,OPEN,110152,51.3345937,3.7913142
11166,NL,Dow Benelux B.V. BKG 7,204686,NL-200400084F,42,A,2018,223897,223897,2013,NOT SET,OPEN,110153,51.3345937,3.7913142
11167,NL,Dow Benelux B.V. BKG 8,204687,NL-200400084G,42,A,2018,396799,396799,2013,NOT SET,OPEN,110154,51.3345937,3.7913142
