"SiteID";"CompanyName";"SiteName";"Address";"CityCode";"City";"Country";"geom";"Subsector";"DataSource";"Emissions_ETS_2014";"Emissions_EPRTR_2014";"Production";"Fuel_Demand";"Excess_Heat_100-200C";"Excess_Heat_200-500C";"Excess_Heat_500C";"Excess_Heat_Total"
3153;"Etelä-Savon Energia Oy";"Otavan lämpökeskus";"Röppääntie PL 166";"50670";"Otava";"Finland";"SRID=4326;POINT(27.070191 61.6438)";"Other non-classified";"ETS";32.00;;;;0.00;0.00;0.00;0.00
3154;"Tornion Energia Oy";"Aukionkadun lämpökeskus";"Röyttäntie 1";"95420";"Tornio";"Finland";"SRID=4326;POINT(24.168126 65.844115)";"Other non-classified";"ETS";273.00;;;;0.00;0.00;0.00;0.00
3155;"Suomussalmen kunta";"Pitämän lämpökeskus";"Ruokapuistontie 2";"89600";"Suomussalmi";"Finland";"SRID=4326;POINT(28.939368 64.86356)";"Other non-classified";"ETS";254.00;;;;0.00;0.00;0.00;0.00
3156;"Pankaboard Oy";"Pankakosken tehtaat";"Ruukintie";"81750";"Pankakoski";"Finland";"SRID=4326;POINT(30.139421 63.327731)";"Paper and printing";"ETS";6865.00;;28558.17;43.63;4.36;0.00;0.00;4.36
3157;"Elenia Lämpö Oy";"Koneen lämpökeskus SLK14";"Ruununmyllyntie";"13210";"Hämeenlinna";"Finland";"SRID=4326;POINT(24.511668 61.00953)";"Other non-classified";"ETS";1.00;;;;0.00;0.00;0.00;0.00
3158;"Vapo Oy";"Vuokatin siirrettävä lämpökeskus";"Sahakuja";"88610";"Vuokatti";"Finland";"SRID=4326;POINT(28.284709 64.150669)";"Other non-classified";"ETS";8512.00;;;;0.00;0.00;0.00;0.00
3159;"Kemijärven Kaukolämpö Oy";"Seinälän lämpökeskus";"Sairaalakatu 9";"98100";"Kemijärvi";"Finland";"SRID=4326;POINT(27.442797 66.704877)";"Other non-classified";"ETS";1.00;;;;0.00;0.00;0.00;0.00
3160;"Oy Turku Energia Åbo Energi Ab";"Kattelus";"Sakunpiha";"21120";"Raisio";"Finland";"SRID=4326;POINT(22.163599 60.488138)";"Other non-classified";"ETS";6.00;;;;0.00;0.00;0.00;0.00
3161;"Lahti Energia Oy";"Kartanon lämpökeskus";"Salpakankaantie";"15860";"Hollola";"Finland";"SRID=4326;POINT(25.538355 60.985274)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
3162;"Fortum Power and Heat Oy";"Kievarin lämpölaitos";"Sarkkakuja 6 -";"4300";"Tuusula";"Finland";"SRID=4326;POINT(25.02804 60.396462)";"Other non-classified";"ETS";7.00;;;;0.00;0.00;0.00;0.00
3163;"Varkauden Aluelämpö Oy";"Hevosharjunkadun lämpökeskus";"Satakunnankatu 44";"78300";"Varkaus";"Finland";"SRID=4326;POINT(27.88924 62.327111)";"Other non-classified";"ETS";2079.00;;;;0.00;0.00;0.00;0.00
3164;"Valkeakosken Energia Oy";"Eerolan varalämpökeskus";"Savottatie 8";"37600";"Valkeakoski";"Finland";"SRID=4326;POINT(24.026394 61.290763)";"Other non-classified";"ETS";4.00;;;;0.00;0.00;0.00;0.00
3165;"Suur-Savon Sähkö Oy";"Voimalaitos";"Schaumanintie 1";"57200";"Savonlinna";"Finland";"SRID=4326;POINT(28.918002 61.86253)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
3166;"Kemijärven Kaukolämpö Oy";"Ammattikoulun lämpökeskus";"Seminaarikatu";"98120";"Kemijärvi";"Finland";"SRID=4326;POINT(27.432304 66.715927)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
3167;"Fortum Power and Heat Oy";"Masalan lämpökeskus";"Sepänkylänkuja 7 ";"2430";"Masala";"Finland";"SRID=4326;POINT(24.533415 60.156111)";"Other non-classified";"ETS";840.00;;;;0.00;0.00;0.00;0.00
3168;"Savon Voima Oyj";"Naarajärvi";"Seunalantie";"76850";"Naarajärvi";"Finland";"SRID=4326;POINT(27.079594 62.290975)";"Other non-classified";"ETS";38.00;;;;0.00;0.00;0.00;0.00
3169;"Lahti Energia Oy";"Viuhan lämpökeskus";"Sipurantie ";"15230";"Lahti";"Finland";"SRID=4326;POINT(25.765508 61.016165)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
3170;"Vatajankosken Sähkö Oy";"Soikanpuiston lämpökeskus";"Soikankatu 4";"38701";"Kankaanpää";"Finland";"SRID=4326;POINT(22.374012 61.802896)";"Other non-classified";"ETS";93.00;;;;0.00;0.00;0.00;0.00
3171;"Rovaniemen Energia Oy";"Someroharjun lämpökeskus";"Someroharjun varuskunta-alue";"96960";"Rovaniemi";"Finland";"SRID=4326;POINT(25.71921 66.497621)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
3172;"Elenia Lämpö Oy";"Vuohkallion (ABC) lämpökeskus";"Sorvarinkatu 3 ";"18200";"Heinola";"Finland";"SRID=4326;POINT(26.031371 61.202719)";"Other non-classified";"ETS";1.00;;;;0.00;0.00;0.00;0.00
3173;"Kannuksen Kaukolämpö Oy";"Suojatien lämpökeskus";"Suojatie 2 PL 7";"69101";"Kannus";"Finland";"SRID=4326;POINT(23.90448 63.898144)";"Other non-classified";"ETS";1.00;;;;0.00;0.00;0.00;0.00
3174;"Etelä-Savon Energia Oy";"Tikkalan höyrylämpökeskus";"Syväniementie 2 PL 166";"50101";"Mikkeli";"Finland";"SRID=4326;POINT(27.152859 61.658927)";"Other non-classified";"ETS";383.00;;;;0.00;0.00;0.00;0.00
