,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
FI-53931104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI-60031104,0,0,17,4,9,5,11,0,0,1,0,,,,
FI-34731008,,,,374,7,74,22,413,933,840,276,573,18,,
FI-68531104,0,0,0,0,0,0,0,2,0,0,0,0,,,
FI-102731105,0,0,15,0,0,0,0,0,0,0,0,0,0,,
FI-16731106,0,0,13,32,6,48,3,76,29,0,0,63,0,6,0
FI-21431104,295946,2420094,2528711,1354694,2279886,2814440,1355013,728246,1368183,1069973,356485,838570,510761,576841,161921
FI-76331104,156,37,5,29,104,381,60,86,91,60,40,72,16,274,28
FI-48531104,175339,206125,158432,173292,114350,20219,15690,12675,17477,14826,7422,9959,9531,22067,11838
FI-25531010,,,,,,523,0,0,0,7,0,17,0,8,0
FI-58131104,4,3,0,14,0,8,9,7,3,1,12,0,0,0,0
FI-43531104,26,1,40,33,80,1666,6854,8257,2775,2569,974,1759,4197,2509,2071
FI-51731104,28,23,85,25,36,18,16,41,31,14,8,32,0,,
FI-51831104,5,87,0,38,0,105,25,97,47,14,17,61,21,22,8
FI-120931105,0,3,8,0,0,5,0,0,0,0,0,28,12,1,2
FI-66931104,14305,15699,16156,15920,14048,14138,14269,14258,13724,13769,12694,13667,14996,15483,13252
FI-25631009,,,,,671,5927,2729,3184,3672,3145,,,,,
FI-54631104,398765,324616,412334,417042,395084,396790,405536,307018,340613,322309,291922,314304,263374,201435,200263
FI-28231104,288,206,209,200,149,132,146,207,139,188,144,260,167,241,75
FI-23431104,1380582,1526042,1449621,1321290,1319210,1641188,1391707,1281442,1343107,1316455,1106338,1370835,1163345,812737,631053
FI-30031104,0,9,7,0,0,0,6,20,18,38,31,130,1,10,3
FI-50731104,0,0,221,0,570,140,71,192,147,60,27,2767,3939,8361,4359
FI-50631104,570027,610070,648930,496221,540399,602166,524022,419263,404865,340438,365739,245096,262807,260667,265485
FI-43731104,9291,9238,4408,7393,4263,10712,7524,4233,6647,1227,199,121,268,454,261
FI-51131104,16513,11022,10035,9878,13230,17471,15746,45429,28475,42954,9572,19982,11233,9901,7774
FI-10506,21269,21493,21495,9841,9332,14226,9341,8552,6188,6147,2909,5409,5054,7770,7093
FI-10106,561,70,357,347,369,324,135,392,290,3216,488,50,8,11,4
FI-61831104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FI-29831104,43,227,16,0,21,59,127,50,21,42,71,150,47,41,21
FI-68131104,2,0,2,0,1,16,15,6,3,5,6,6,5,4,4
FI-61731104,43,588,13,98,432,597,182,2776,2172,1871,854,746,883,318,2125
FI-138431017,,,,,,,,,,,,,835,1843,925
FI-43831104,25,0,17,1,7,31,38,40,23,15,5,28,5,2,4
FI-58331009,,,,,2226,6317,5628,6706,6129,6508,6035,6490,6817,6327,4843
FI-24531104,0,0,0,0,0,0,0,0,0,0,0,0,,,
FI-32331104,9607,10401,11515,9386,8896,7689,8651,8521,7266,7106,5946,5708,5766,4466,4695
FI-40031104,1707,2613,1467,2123,2725,1129,911,1277,1035,897,2230,1514,1367,637,166
FI-68631104,0,0,3,126,1171,2631,1861,977,142,236,21,453,214,67,76
FI-57431104,7818,7054,10914,8044,7707,7628,1588,361,1336,0,0,,,,
FI-52531104,0,0,3,229,0,0,139,762,74,13,811,670,344,904,118
FI-76931104,20742,20630,20708,19749,25775,31235,30485,31701,32434,28436,27795,28788,30631,29687,26586
FI-67631104,1862,2385,2033,1025,2440,3413,1671,1680,1116,1018,974,1157,1158,1902,1687
FI-92931007,,,,442414,429918,456840,441851,400199,540165,537361,554162,572356,531690,548245,562045
FI-31131106,,,5358,831,819,674,515,844,573,1126,786,918,478,352,386
FI-30531104,393,433,471,438,485,456,456,384,483,448,832,737,717,1505,1388
FI-52031104,0,0,0,481,898,2161,1467,3698,1575,1558,745,1550,2061,2039,1829
FI-24631104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FI-58231104,410,64,41,0,0,0,0,0,3,0,,,,,
FI-65231104,5421,8522,9382,5556,4997,7162,5182,2401,1986,1460,1083,89,87,228,1612
FI-40131104,13302,16032,21081,15499,25803,14061,5402,18338,15935,9968,11384,9156,1574,4721,1989
FI-231106,65,24,69,26,0,57,49,62,18,32,8,54,27,29,7
FI-43931104,1096,399,400,403,355,386,417,521,517,276,,,,,
FI-42631011,,,,,,,,,15277,13816,13135,11598,6234,,
FI-33331104,258505,399683,407482,375369,259534,350379,278367,269586,258484,283763,263509,225305,239854,260351,234750
FI-20831008,,,,130,2857,5650,820,1954,244,1089,2835,1405,80,385,310
FI-55731104,6657,10702,9236,5302,8396,8752,4687,5287,3810,940,509,849,141,122,0
FI-10306,0,6,15,0,1,3,12,202,103,131,9,1,8,276,79
FI-10206,32,356,276,2,1,244,304,5,14,5,2,3,35,23,353
FI-10406,0,0,4,0,1,15,84,8,5,36,1,84,14,192,41
FI-50331104,3178,2860,4951,2091,3833,5106,3221,3638,3120,1820,641,773,448,798,1072
FI-60131104,0,0,0,22,86,11,0,0,0,0,0,,,,
FI-32531104,2199,2069,5187,3955,14263,3765,5350,6102,6181,6865,7471,7154,7018,7550,7134
FI-16831106,55,929,903,274,1046,1115,423,877,807,239,143,169,502,266,189
FI-67131007-1,,,,28062,20239,22113,25083,23947,23607,23116,25784,22114,29076,33739,24840
FI-37131104,90436,95722,96561,95111,61699,94981,95925,59286,70211,91146,84356,85008,79115,52850,50420
FI-67831104,573703,614415,621006,574413,455171,517836,539931,525069,497465,501024,479132,492412,531206,542210,541364
FI-35931104,0,5,0,0,0,0,13,0,0,0,0,0,0,0,0
FI-24931007,,,591,1743,3914,13231,3298,7603,1546,3958,4598,3432,942,3854,2455
FI-54131104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI-64731104,3,46,11,0,0,0,2,61,21,0,43,3,105,1,0
FI-30631104,0,0,0,8,40,67,1,0,16,0,0,20,93,201,12
FI-30131104,63519,62456,62047,57697,61347,61898,50184,46065,51699,55004,52509,53901,48553,51862,46978
FI-59331104-1,42181,35932,73914,30638,16690,11378,13925,24549,6483,5875,3305,6757,6631,8100,11190
FI-22831104,1069476,1189484,1457663,767793,666392,873947,828526,440729,560960,688131,363183,348194,270980,657861,352052
FI-42031104,184,774,574,129,514,1443,443,134,30,23,2,64,178,38,16
FI-69631104,260,0,806,338,0,364,230,318,120,53,0,0,0,0,0
FI-137631105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI-61631104,0,22,37,11,20,81,43,1114,130,14,12,93,252,29,195
FI-52931104,99,173,448,12,487,880,354,500,182,254,124,196,97,306,0
FI-36031104,5,0,9,0,0,4,8,0,0,0,1,2,0,0,1
FI-60531104,947,962,1021,915,588,706,719,487,0,0,0,0,0,0,0
FI-38631104,270092,253262,263542,239367,108904,129353,83302,57392,84398,27614,12581,41601,28700,18244,17547
FI-58031104,2262129,2496218,2754817,2981447,3073882,2913607,2953533,2826825,2882486,2768455,2620670,2853023,2782165,2709561,2959750
FI-21731104,6,2,0,0,15,4,0,0,0,0,0,24,25,20,0
FI-95831010,,,,,,,454,6429,2179,3916,1069,5471,7986,2400,1384
FI-53331104,1109,1397,1719,1943,1889,2814,1285,2252,610,1984,1233,2017,3304,1174,1178
FI-21831104,0,0,4,0,0,2,0,0,0,0,0,1,2,0,0
FI-58331104,120404,194587,204984,191527,123953,149414,137496,135977,103226,63809,59999,66392,58396,70196,64075
FI-61531104,1523,1081,1055,1225,2146,2398,590,1378,1083,759,269,153,78,86,481
FI-17131106,,0,0,0,0,0,56,49,52,53,51,1,54,50,53
FI-40231104,8,77,16,20,5,24,12,344,38,37,225,215,141,146,171
FI-37531104,181274,194096,191995,161231,146532,153802,168247,160229,173649,178968,155485,158190,161057,159186,119677
FI-58931104,4746603,4810622,4525798,4473802,3414113,4043236,4042595,3755153,3670006,3774032,3936555,4134819,3792053,4025353,3313833
FI-51031104,589,1148,432,700,1981,5698,5262,12933,9587,15324,4722,4019,2261,3382,3211
FI-24331106,,0,1704,276,149,288,145,211,324,135,276,245,205,219,215
FI-24431106,,0,1,0,0,0,0,2,0,0,,,,,
FI-74831014,,,,,,,,,,1,0,3,12,0,24
FI-7231008,,,,10,254,57,192,194,488,155,143,664,106,396,538
FI-40331104,1334,8436,9342,12411,10318,1635,816,1277,318,964,1667,1614,118,186,651
FI-59631104,1631,2766,1698,1714,539,704,879,383,580,383,350,573,434,385,767
FI-105731105,687,5909,7605,4821,16649,10380,7645,14830,12936,20735,10075,7747,10012,9582,6784
FI-46731104,419039,487882,504808,454415,445821,325798,166030,223458,198205,152894,144112,140406,143024,103604,169702
FI-59731104,8,8,8,0,0,0,1,0,0,0,0,0,0,0,50
FI-135731105,,13126,49121,33378,64860,72881,56521,65079,40591,44434,47610,45223,62544,73740,69051
FI-54931104,49973,63152,60935,36530,43347,65290,62360,48791,45408,25439,77905,75092,76385,83412,80337
FI-59031104,65915,60380,35597,31686,20693,27103,23513,20908,20847,19547,19495,17922,18403,19195,18342
FI-31331106,,0,71,25,8,83,10,78,88,116,206,65,59,920,146
FI-44231104,4,0,9,0,2,0,0,1,0,0,3,3,12,0,0
FI-20731008,,,,0,493,705,558,149,6,23,53,14,91,11,38
FI-52431104,419,602,3,0,135,650,789,480,693,366,66,256,336,112,4
FI-64931104,5,3,5,0,15,0,2,0,31,0,0,0,34,245,107
FI-73931007,,,0,0,0,0,0,0,0,Not Reported,,,,,
FI-10606,1087,267,384,517,718,298,251,92,161,4309,844,139,45,198,75
FI-44331104,3,0,5,1,7,0,0,0,0,Not Reported,,,,,
FI-52831104,0,0,1,1,2,34,26,48,0,0,5,2,18,2357,0
FI-36631104,3965,4019,5805,5151,3362,3247,1813,2589,2110,3050,2517,2435,1183,498,1510
FI-12531104,847,417,371,316,283,1358,830,1226,765,490,720,2115,1108,226,910
FI-90631012,,,,,,,,0,0,1,0,0,0,0,5
FI-45531104,115414,136257,86348,105371,101846,140197,123815,136049,146517,150880,200231,236230,241689,126639,157334
FI-120431016,,,,,,,,,,,,156,136,136,7
FI-61331104,1203,2676,1992,1303,6276,8862,4160,3744,462,538,1285,1357,1376,78,160
FI-66131104,4057,8333,28111,25660,29059,34257,22390,23838,13836,11197,4374,4890,2637,8153,7510
FI-46131011,,,,,,,,,16752,14286,13515,16579,15064,15928,15246
FI-22531104,1870,1995,1136,4671,4071,8041,5093,9848,3673,5976,4552,5161,3379,4357,915
FI-7831106,,0,76,151,149,19,64,191,180,96,16,167,83,123,90
FI-54331104,148,0,0,0,16,0,1,0,0,0,0,0,0,24,0
FI-36131104,333,756,588,190,0,21,12,0,0,12,0,2,7,15,3
FI-50931104,8248,6468,4633,5278,7385,12172,9019,16466,5002,4379,4191,3267,688,2850,1190
FI-88531104,13,13,13,0,0,0,0,60,0,0,0,0,0,0,0
FI-15031007,,,0,100,550,1152,747,1124,819,190,94,371,309,424,333
FI-46831104,52086,63781,64885,61429,79591,33566,5381,5784,6565,7719,5508,3036,4026,2223,4408
FI-42231104,20759,21368,18475,24932,16983,11040,6672,7418,5702,4833,3973,4221,3456,3511,2959
FI-34631104,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5
FI-70231104,0,0,11,10,25,0,1,0,1,1,3,2,0,2,0
FI-58431104,3998,1054,1196,190,259,721,890,605,955,381,951,2010,39,187,117
FI-121731014,,,,,,,,,,18,11,2,9,0,
FI-94731105,681,236,0,0,0,0,0,0,0,Not Reported,,,,,
FI-95031105,0,6,0,0,0,27,213,228,0,48,0,0,0,0,0
FI-69231013,,,,,,,,,0,0,,,,,
FI-70831104,100017,118938,115694,104814,82284,81106,72999,69751,85424,88010,83485,85900,92610,98795,75473
FI-48431104,34,232,452,579,991,1094,564,735,91,34,521,1572,123,330,23
FI-68031104,62,106,84,6,104,364,166,231,111,93,88,263,58,30,61
FI-68731104,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
FI-44731104,5,115,394,5,149,635,118,1785,558,432,84,862,256,482,212
FI-26331104,39838,30905,26884,19465,0,0,0,0,6620,6372,6653,7201,7254,7594,6366
FI-53331007,,,0,17869,19943,20213,15647,16701,9460,2111,963,1123,363,1721,1821
FI-15631104,42137,48091,47241,39579,15551,49847,48550,48192,49953,47062,38893,27376,27921,27479,30070
FI-118831105,244,651,821,447,1660,2347,875,1153,58,224,35,65,167,77,34
FI-120531105,1,0,1,0,0,3,0,0,4,1,1,0,0,0,0
FI-66231104,140,268,327,12,90,341,489,617,77,35,85,899,962,289,148
FI-49331104,613,533,631,949,1007,852,705,952,646,352,265,321,497,481,623
FI-40431104,755906,815118,820611,799272,812514,1016622,949514,811754,907479,845947,744633,812810,805224,765650,846073
FI-55631104,214941,226453,209565,260639,235249,200431,165389,179492,163237,141437,105325,103962,99390,107827,113439
FI-49031104,115,732,1417,1547,1527,1554,1785,2058,302,119,218,370,146,125,66
FI-10910,,,,,,1,0,0,0,0,0,1,0,0,0
FI-44031011,,,,,,,,,0,0,0,0,0,0,0
FI-70631104,56281,48984,59956,43265,50244,50288,56077,43561,46345,48099,31853,37037,34773,28672,40984
FI-23731104,180,490,1555,1370,1317,615,461,254,433,1292,792,1116,486,545,971
FI-73331013,,,,,,,,,60,0,,,,,
FI-65331104,11540,12295,9509,4149,7328,20107,12001,17885,7698,7019,7389,10725,8092,9934,5730
FI-65031104,33,1,0,0,15,1,3,358,12,37,91,26,141,39,54
FI-24931104,17410,12220,20968,23520,17855,20659,21182,20600,20641,16110,20427,20634,20926,20992,21108
FI-28131104,313,338,295,171,279,361,135,224,241,266,276,332,234,329,284
FI-61031104,162221,1193842,978269,472412,592267,1233427,388412,296002,673607,326552,115090,2914,2420,0,0
FI-122731105,201,395,1194,1097,842,865,155,149,244,187,97,80,213,55,51
FI-31731104,2975,4456,2738,505,779,1798,1565,1241,33,6,271,35,199,20,19
FI-21631104,61,0,2,11,0,3,0,6,0,0,0,1,7,235,47
FI-67431104,81934,88513,81537,76034,66236,73853,71050,74299,69225,72754,75453,75672,75163,77230,77190
FI-67931104,0,1,1,0,0,0,0,0,0,0,3,16,1,24,0
FI-40531104,14186,22117,24555,13610,36165,19640,12811,36106,23745,34102,9558,13385,7410,12148,1961
FI-90231104,0,0,0,0,2,5,2,1,0,0,0,,,,
FI-49831104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI-60331104,0,0,0,0,0,0,0,0,0,0,0,,,,
FI-29631104,8,14,49,8,511,7,8,73,0,13,37,13,5,3,3
FI-59831104,814,2053,1273,802,894,2119,1010,671,704,447,242,829,170,371,593
FI-55531104,0,348,63,0,0,3,4,1,0,0,,,,,
FI-29331104,80943,83107,82993,79730,74239,67698,56781,57581,62424,57467,58739,60801,56728,56788,49801
FI-66531104,237410,283798,305318,244253,208344,268326,235613,197054,171651,186207,163033,142328,129784,127290,115147
FI-55431104,739,2745,2137,0,11,99,189,132,0,0,0,0,0,0,0
FI-58531104,311,369,428,359,286,449,288,368,300,383,464,369,324,374,317
FI-70431104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI-19431104,1305,2263,4032,1049,714,775,795,1087,181,247,801,330,142,289,86
FI-28031104,199,380,125,117,119,204,214,434,298,407,303,736,349,472,385
FI-75331104,3,17,4,1,1,1,8,0,0,2,2,0,0,0,0
FI-32931104,929868,1262302,1139228,840554,626050,861187,796953,667604,609910,519453,518232,523147,531894,483023,480720
FI-75431104,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
FI-55331104,249,516,484,265,222,120,57,124,7,3,0,0,0,0,0
FI-33631104,681521,733510,635668,612271,375649,606253,592157,573613,640434,697749,708526,672901,640302,705234,684373
FI-71131007,,,76588,189978,192186,219606,165082,180315,318086,289443,247600,246815,268164,329615,317714
FI-69831104,87,0,36,139,5,3,10,52,0,0,0,0,0,0,0
FI-36231104,13011,12391,11579,6372,6400,8312,6325,7798,5818,3566,1164,1361,1103,1318,1282
FI-24331104,9381,9516,9258,8194,13809,10478,5228,996,856,504,273,1008,461,272,120
FI-70331104,10957,12480,20102,24985,26701,26016,19986,25293,15135,16163,10815,12418,9871,13229,10568
FI-159131012,,,,,,,,,19,4,45,126,3,1,6
FI-53531007,,,0,1,324,0,22,0,0,0,,,,,
FI-37431104,175325,191910,189010,162942,153563,121704,150068,117894,109065,84005,79466,82862,91378,86584,69670
FI-24731104,290,348,72,1,298,270,1578,31,32,71,32,421,1217,367,438
FI-25831104,1,0,106,2,0,0,0,0,0,0,0,0,0,0,0
FI-40631104,826,1783,1863,3180,3954,2188,1101,2142,1052,1036,1377,1383,727,,
FI-62831016,,,,,,,,,,,0,0,0,0,0
FI-32631106-1,,,0,0,0,0,0,0,0,0,0,0,0,0,0
FI-40731104,221,718,229,289,434,341,158,402,157,269,373,380,255,135,222
FI-88931104,1871,2102,1691,1016,2053,1732,2187,993,143000,148940,160104,157141,152729,129391,121949
FI-32431008,,,,0,0,0,0,0,0,0,0,0,0,0,0
FI-27931104,782,153,200,289,542,425,147,208,174,219,180,313,218,325,250
FI-23031104-1,199073,184418,158981,149726,141391,121611,93110,61747,52068,59402,57201,55493,50526,55131,57395
FI-30331104,81,159,11,0,20,42,35,13,12,11,26,17,5,7,1
FI-45431104,0,4,13,4,0,3,7,2,6,5,0,11,0,10,4
FI-118931105,14,39,50,2,91,96,41,59,2,5,0,44,10,10,3
FI-47831104,7075,7711,8306,7051,11921,12025,4207,6530,556,722,111,749,677,1717,1179
FI-38431104,111100,152725,131768,117483,86083,91340,59695,65769,74947,76151,69971,101023,68247,60235,52033
FI-99731105,769,5474,4148,3881,4783,10653,3247,5663,1014,2925,3419,2992,863,2256,2432
FI-21631106,,0,0,0,0,7,0,0,0,0,,,,,
FI-27831104,104,76,103,108,357,184,58,98,243,235,127,269,164,174,172
FI-60731104,874507,1327656,1256356,1045679,1174718,1336821,974306,886959,1087164,922723,724592,839060,487632,731146,510323
FI-66331104,470,1211,1358,262,4585,3170,1092,1681,480,690,1655,3024,131,153,205
FI-25131104,366210,433313,378128,357049,320547,365990,348592,350758,333043,328151,284431,257566,210002,240315,209793
FI-125131105,0,0,0,0,0,0,18,26,17,18,17,20,19,17,19
FI-40831104,23670,25290,12360,21957,42008,17774,16181,34771,21404,16830,13681,11030,2196,5756,4763
FI-69931104,0,0,0,0,0,0,0,18,0,0,0,0,0,0,
FI-54431104,23,0,19,0,1,0,0,0,0,0,0,0,0,0,0
FI-36431104,0,0,0,0,0,0,1,0,0,0,0,1,0,1,5
FI-121131105,783,2215,3653,1961,185,278,266,278,268,223,301,409,82,206,373
FI-89331010,,,,,,,0,1,0,0,0,0,0,0,1
FI-56231104,98,425,773,318,100,544,224,294,60,127,75,389,78,53,10
FI-34331104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI-9531011,,,,,,,1,11,0,0,0,,,,
FI-69731104,253,0,0,5,3,51,119,352,0,0,0,0,161,27,39
FI-52331104,4,119,77,730,18,54,0,37,39,136,223,86,38,99,3
FI-16331008,,,,16,1,1,1,0,0,1,0,0,0,0,1
FI-4031009,,,,,463,2196,889,470,84,101,469,478,448,28,27
FI-21031008,,,,3,3087,8744,9562,8404,6589,8512,5028,,,,
FI-69531012,,,,,,,,0,45,75,93,,,,
FI-26231104,25689,31659,5520,0,0,0,0,0,3386,3595,3461,3427,3025,2907,3192
FI-36531104,2731,541,658,833,603,351,657,595,205,177,1457,824,1043,2499,904
FI-59931104,0,0,10,9,0,0,10,0,8,81,13,8,8,5,70
FI-43931011,,,,,,,,,38808,39336,35422,36558,34566,22530,18664
FI-42131104,22407,31262,38056,16745,19325,11855,7189,5559,2797,2097,3219,2278,918,2022,9096
FI-66731104,7743,7947,5617,5723,4028,5905,3965,4521,2592,3725,3359,3381,3536,,
FI-26831104,296,305,609,355,625,703,678,697,15,148,137,456,400,444,370
FI-45631104-1,12781,8827,1547,371,964,6302,8198,10931,8155,8860,5358,5233,991,3037,631
FI-45731104,25296,24448,23437,20777,25265,29521,24245,25720,29237,30877,30889,32412,31902,30975,29361
FI-45831104,26580,26293,26083,21253,19216,3874,1099,2652,3503,2238,2997,2864,3102,2329,10943
FI-45931104,3905,3370,3761,6233,7834,8533,7714,9074,8705,7707,7025,7069,5053,934,1385
FI-46031104,72862,68215,65375,68712,66958,66300,59442,53119,23566,33146,31210,41648,41108,35180,25271
FI-46131104,3589,3136,4061,4105,3862,6102,3785,5059,4037,1459,1307,1795,1433,1756,1149
FI-46231104,11035,12803,13256,11941,10355,12696,13091,14463,10822,5489,3647,2615,1870,2267,1601
FI-46331104,38031,37512,39873,33696,11759,16461,13263,17220,15743,4031,3783,6030,1529,2447,1550
FI-46431104,1403,1444,1252,1590,1435,2317,1885,1625,1156,980,602,1426,399,1245,483
FI-54731104,7290,12784,22008,18164,12936,21026,38657,41067,58667,59495,66784,64343,48966,7,16
FI-27231104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI-18931104,343,26,2,10,132,1,3,161,5,52,20,3,5,72,206
FI-10708,,,,39,0,0,0,0,0,0,0,2,0,0,0
5600022,97826,89456,85407,87905,79239,81247,76397,64643,80733,85936,80333,81811,72392,48502,49280
7000761,276659,291525,294563,243060,168441,121917,241490,221183,179813,122615,126859,128540,192730,231870,214129
6204851,149375,158640,156855,137639,138755,147231,134089,132114,123506,125811,129898,131583,113340,97038,129084
6103253,9044,8922,9054,7085,6189,7590,7307,6572,6207,6094,6067,6396,7062,6483,6897
6103062,42223,41127,37468,43486,40801,48103,45833,46862,41662,45964,45842,47087,48161,46294,45007
5200081,3109,2719,2945,3090,2447,2126,2260,4041,4077,3987,3339,3094,3450,3624,3324
7000745,19944,18281,18148,18015,15579,21377,20417,18249,22553,23051,22708,22553,22590,22802,17229
5800429,17379,15496,14313,14033,13951,14642,13708,12959,12801,12312,12523,12386,12783,12464,12439
7201362,24949,24829,26101,26197,23304,27650,28860,25651,25580,26423,26243,26690,33473,36995,38776
6200909,85238,86530,90395,85942,76496,84596,71949,83566,81415,80544,76127,79067,66391,60776,27391
6202068,25145,27446,28482,23633,19036,24633,23118,19929,23585,29562,23869,21638,22976,23427,25978
6103714,161110,156445,155940,154172,134334,144047,144317,131479,185472,152350,93879,88400,101942,97020,89341
6404835,,,,,,,,,197059,196164,165510,180848,204377,177305,216928
5802301,,,,,,,,,268793,256955,232674,247208,236312,225897,213936
10400075,,,,,,,,,21399,21215,18451,17498,12498,11645,11098
6301389,26263,24937,25235,674,0,0,0,0,0,0,0,0,0,12,5320
6503465,61276,70163,67226,71100,58139,48555,51879,57760,55533,53012,49309,51900,52957,57931,50396
6400001,154087,130409,130725,127667,78692,82802,101937,135071,229697,223308,236026,250839,252444,240364,209083
7000683,,,,,,,,,518539,501139,512919,583142,522643,482513,519030
5401254,10672,10545,10843,11831,8843,10923,20730,21548,22298,21615,23495,22360,24930,24546,25103
6204558,,,,,,,,,10875,12229,12276,12101,13367,13321,13187
6201286,,,,,,,,,20395,27623,23333,26947,27080,24146,19546
6401052,8494864,8725948,7950830,6462343,4726806,6133536,5429074,7140687,7988487,7916572,7861098,7237403,7934947,7460796,7659332
6301300,16892,16316,18710,16944,16018,15701,15934,16867,15585,15794,16134,15226,17980,12425,2748
7001304,61007,51261,11673,11406,8723,9413,8548,8423,8548,6951,3266,,,,
6501307,7753,9953,9667,9596,8961,9242,8638,9163,9987,7714,8370,8270,8253,6094,
6201759,117813,109935,121933,128387,128423,102300,45503,31486,149155,135818,153512,159116,181583,173861,155424
6802505,34055,34696,33199,32729,29493,33467,37030,38425,36395,38002,33385,42362,33028,34148,33506
6400651,100759,108588,103260,107760,78873,95658,100213,94412,90458,95998,92471,97069,83998,94509,91860
6102993,30102,24818,31213,27660,22428,32067,35776,37008,50830,53311,54066,48809,48983,52147,47512
6104379,70062,73744,69384,65614,56689,59300,59195,57239,53615,52941,50245,49671,49322,46460,47093
6103685,33475,30427,27568,33405,29465,40465,36585,34682,42476,39976,44164,41396,28747,23903,20618
5205103,,,,,,,,,4858,2961,2766,2900,3388,4000,3278
5202690,,,,,,,,,2093,2063,2409,1883,1799,2883,1675
6201313,75937,74765,72630,66846,45081,66210,70741,59964,64497,57818,54471,59558,59646,55233,42776
6401019,85553,85750,84983,79308,40116,60745,62718,54313,51947,53953,52937,47551,52034,47698,40145
7000673,96908,95959,98653,90839,36574,72382,92193,70444,66637,66294,51466,45176,44725,28393,
7002398,77995,77610,80923,76318,53625,62963,64235,56397,49086,56003,38980,33980,40826,41653,19819
5600289,45590,45279,45555,44339,33039,37643,42136,41240,37416,36299,39255,39798,42464,43161,40381
6103348,20725,21978,23173,24402,18176,18573,18986,16081,16351,17394,16272,14141,14118,12429,11001
7000778,,,,,,,,,31236,44394,37677,27339,41475,54021,55505
6201963,30671,33207,30808,33099,22172,29377,28104,27896,26552,26855,29230,5501,,,
7001067,,,,,,,,,4910,4847,8315,1302,,,
7201363,4787,4924,4310,4763,3819,3858,3096,3128,2870,2384,2752,3226,3214,2816,2440
6201364,4353850,4737538,4321829,4154865,1657210,3095678,2472037,280855,530710,443623,245342,423646,255680,387818,324479
6200776,,,,,,,,,19164,23005,25096,25030,25328,24636,24936
6301048,76503,74314,77626,61758,58011,58180,58679,68753,97340,95650,90008,90190,82388,22303,12515
7000635,,,,,,,,,37892,22911,28970,31040,42538,49062,46682
6700668,7415,7087,7587,7128,5685,6736,6419,4884,2471,40673,34009,36222,38817,40957,50465
7000648,112938,119937,120581,117893,95551,92510,104990,104349,115810,121196,98306,106760,113901,119873,107916
06501167B,,,,,,,,,597559,571872,477518,631736,396881,464832,632561
05800607B,,,,,,,,,30647,52141,87871,133305,49433,99783,71518
05800607C,,,,,,,,,30346,31342,35788,59329,46854,67200,63067
05800607A,,,,,,,,,372976,333986,600523,568302,669298,581903,548177
06501167A,,,,,,,,,80603,123904,83012,95393,78359,139055,164179
10500177,17983,18060,17746,14633,10390,13003,15234,12088,11985,8675,9301,7758,4990,1612,72
6802385,48830,47409,43213,37157,19251,15611,19837,15585,14363,11953,15220,17201,21060,25334,21446
5206306,27725,23667,23348,22231,16060,18044,18746,17120,16684,16417,13833,13678,17028,19353,18288
6302896,7773,11920,12807,10835,6905,9549,11664,7106,2741,2065,2745,2002,2264,2387,2452
6104980,11683,16275,20032,18896,18156,16667,17144,14074,12796,13122,18972,13878,15436,18536,19148
16500027,5091,5141,5947,4253,3228,3648,3753,3079,2472,2040,1742,1415,1647,1652,1395
7002530,4610,4696,4529,4394,4800,3972,3694,3003,2333,3029,2774,2814,3287,3955,4285
7001381,5125,4012,5065,4535,4155,3734,3577,3480,3478,3018,3123,3466,2879,3046,3268
6201358,,,,,,,,,33734,38239,39385,36996,35299,32403,33422
5207519,,,,,,,,,36676,36825,35492,32645,36228,34929,34532
6700471,,,,,,,,,490104,563528,417245,373277,493751,535719,463030
6102312,6071,6241,6540,6866,5905,6848,6438,5700,6153,6160,5689,5820,5994,6512,5966
6200900,443299,475216,513597,471206,252313,283796,337822,317718,318236,354832,338175,361753,356638,370684,355154
10000968,9833,9905,10485,9777,8295,9485,9061,8345,8841,10283,9859,9748,11015,10050,8716
10000712,8988,8864,9021,8261,7175,8390,7816,7688,7710,7688,8153,8542,8126,8223,8621
6102832,71862,83596,87209,84593,69103,76258,74954,63806,83053,68651,77055,58559,71439,70639,61435
10400059,63585,73137,86190,75714,79175,80089,83232,80163,79394,92180,89160,77010,79673,81831,76819
5501580,,,,,,,,,,,22116,21945,21531,21178,22159
5202511,57631,61151,65473,73680,60380,43756,41654,40421,27115,36661,29474,25501,21974,23493,23064
6700428,18064,15528,15292,14142,15487,13011,11208,12550,13700,14805,14684,13735,11463,13158,10227
6401622,118475,125495,127212,134616,88788,97946,101164,104953,127124,119796,122863,126694,156239,161855,157662
